Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z,atoms_simplify,labels
HETATM,1,C1,XYP,1,1.788,0.113,-0.576,C,99.4
HETATM,2,C2,XYP,1,1.056,-0.041,0.742,C,76.7
HETATM,3,C3,XYP,1,-0.228,-0.831,0.512,C,78.6
HETATM,4,C4,XYP,1,-1.101,-0.126,-0.54,C,72.1
HETATM,5,C5,XYP,1,-0.235,0.081,-1.803,C,68.0
HETATM,6,OH2,XYP,1,1.92,-0.714,1.67,O,-1.0
HETATM,7,OH3,XYP,1,-0.945,-0.955,1.743,O,-1.0
HETATM,8,O5,XYP,1,0.97,0.786,-1.518,O,-1.0
HETATM,9,HO2,XYP,1,1.39,-0.985,2.583,H,-1.0
HETATM,10,HO3,XYP,1,-0.852,-1.977,2.111,H,-1.0
HETATM,11,OH1,XYP,1,3.001,0.841,-0.434,O,-1.0
HETATM,12,OH4,XYP,1,-2.262,-0.887,-0.846,O,-1.0
HETATM,13,HO1,XYP,1,2.784,1.838,-0.048,H,-1.0
HETATM,14,HO4,XYP,1,-3.001,-0.757,-0.055,H,-1.0
HETATM,15,H5A,XYP,1,-0.827,0.715,-2.457,H,-1.0
HETATM,16,H5E,XYP,1,-0.031,-0.804,-2.39,H,-1.0
HETATM,17,H4,XYP,1,-1.396,0.846,-0.146,H,3.63
HETATM,18,H3,XYP,1,0.033,-1.829,0.159,H,3.42
HETATM,19,H2,XYP,1,0.812,0.938,1.153,H,3.22
HETATM,20,H1,XYP,1,2.047,-0.871,-0.966,H,4.57
