Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z,labels
ATOM,1,C1,DGlcNAc,1,-1.286,1.938,-0.094,96.03
ATOM,2,C2,DGlcNAc,1,-1.944,2.3,1.257,57.36
ATOM,3,C3,DGlcNAc,1,-3.472,2.102,1.161,73.77
ATOM,4,C4,DGlcNAc,1,-4.076,2.887,-0.027,80.75
ATOM,5,C5,DGlcNAc,1,-3.32,2.563,-1.351,75.79
ATOM,6,C6,DGlcNAc,1,-3.742,3.463,-2.526,61.35
ATOM,7,O1,DGlcNAc,1,0.084,2.283,-0.06,-1.0
ATOM,8,O3,DGlcNAc,1,-4.064,2.542,2.376,-1.0
ATOM,9,O4,DGlcNAc,1,-5.451,2.533,-0.128,-1.0
ATOM,10,O5,DGlcNAc,1,-1.875,2.718,-1.165,-1.0
ATOM,11,O6,DGlcNAc,1,-3.308,4.804,-2.308,-1.0
ATOM,12,HO1,DGlcNAc,1,0.199,2.799,-0.863,-1.0
ATOM,13,HO3,DGlcNAc,1,-3.45,2.251,3.059,-1.0
ATOM,15,HO6,DGlcNAc,1,-2.478,4.723,-1.826,-1.0
ATOM,16,H1,DGlcNAc,1,-1.393,0.854,-0.305,4.7
ATOM,17,H2,DGlcNAc,1,-1.729,3.364,1.481,3.68
ATOM,18,H3,DGlcNAc,1,-3.686,1.022,1.028,3.67
ATOM,19,H4,DGlcNAc,1,-3.992,3.972,0.181,3.61
ATOM,20,H5,DGlcNAc,1,-3.541,1.513,-1.629,3.5
ATOM,21,H61,DGlcNAc,1,-3.301,3.081,-3.466,3.64
ATOM,22,H62,DGlcNAc,1,-4.839,3.436,-2.67,3.82
ATOM,23,NM,DGlcNAc,1,-1.412,1.481,2.293,-1.0
ATOM,24,CM,DGlcNAc,1,-0.755,2.054,3.351,-1.0
ATOM,25,CM2,DGlcNAc,1,-0.239,1.058,4.371,-1.0
ATOM,26,OM,DGlcNAc,1,-0.583,3.251,3.483,-1.0
ATOM,27,HM1,DGlcNAc,1,-1.521,0.458,2.247,-1.0
ATOM,28,HM2,DGlcNAc,1,0.276,1.579,5.211,-1.0
ATOM,29,HM3,DGlcNAc,1,0.491,0.363,3.896,-1.0
ATOM,30,HM4,DGlcNAc,1,-1.082,0.466,4.797,-1.0
ATOM,31,C1,DGlcNAc,2,-6.29,3.654,0.064,102.94
ATOM,32,C2,DGlcNAc,2,-7.751,3.267,-0.259,56.56
ATOM,33,C3,DGlcNAc,2,-8.694,4.427,0.129,73.43
ATOM,34,C4,DGlcNAc,2,-8.5,4.852,1.603,80.16
ATOM,35,C5,DGlcNAc,2,-6.999,5.139,1.908,76.15
ATOM,36,C6,DGlcNAc,2,-6.716,5.369,3.403,61.52
ATOM,38,O3,DGlcNAc,2,-10.037,4.009,-0.076,-1.0
ATOM,39,O4,DGlcNAc,2,-9.295,6.011,1.83,-1.0
ATOM,40,O5,DGlcNAc,2,-6.164,4.021,1.461,-1.0
ATOM,41,O6,DGlcNAc,2,-6.897,4.158,4.136,-1.0
ATOM,43,HO3,DGlcNAc,2,-10.003,3.491,-0.888,-1.0
ATOM,45,HO6,DGlcNAc,2,-6.63,3.458,3.532,-1.0
ATOM,46,H1,DGlcNAc,2,-5.952,4.489,-0.584,4.63
ATOM,47,H2,DGlcNAc,2,-8.018,2.369,0.333,3.84
ATOM,48,H3,DGlcNAc,2,-8.484,5.295,-0.529,3.78
