Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z,labels
ATOM,1,C1,DGlcNAc,1,1.803,-0.843,0.163,98.87
ATOM,2,C2,DGlcNAc,1,1.161,-0.633,1.531,54.29
ATOM,3,C3,DGlcNAc,1,-0.346,-0.827,1.489,70.53
ATOM,4,C4,DGlcNAc,1,-0.954,-0.008,0.373,80.04
ATOM,5,C5,DGlcNAc,1,-0.25,-0.325,-0.946,71.53
ATOM,6,C6,DGlcNAc,1,-0.755,0.452,-2.142,61.01
ATOM,7,O3,DGlcNAc,1,-0.898,-0.399,2.74,-1.0
ATOM,8,O4,DGlcNAc,1,-2.335,-0.3,0.221,-1.0
ATOM,9,O5,DGlcNAc,1,1.141,0.002,-0.787,-1.0
ATOM,10,O6,DGlcNAc,1,-0.625,1.853,-1.957,-1.0
ATOM,11,HO3,DGlcNAc,1,-1.217,-1.335,3.2,-1.0
ATOM,13,HO6,DGlcNAc,1,-0.108,2.574,-2.59,-1.0
ATOM,14,O1,DGlcNAc,1,1.763,-2.177,-0.328,-1.0
ATOM,15,H5,DGlcNAc,1,-0.388,-1.344,-1.181,3.81
ATOM,16,H61,DGlcNAc,1,-0.588,0.327,-3.117,3.86
ATOM,17,H62,DGlcNAc,1,-1.776,0.241,-2.273,3.95
ATOM,18,H1,DGlcNAc,1,2.867,-0.615,0.222,4.82
ATOM,19,H3,DGlcNAc,1,-0.56,-1.883,1.324,3.88
ATOM,20,H4,DGlcNAc,1,-0.831,1.044,0.629,3.72
ATOM,21,H2,DGlcNAc,1,1.388,0.386,1.842,3.95
ATOM,22,NM,DGlcNAc,1,1.739,-1.554,2.447,-1.0
ATOM,23,CM,DGlcNAc,1,2.453,-1.094,3.523,-1.0
ATOM,24,CM2,DGlcNAc,1,3.014,-2.191,4.407,-1.0
ATOM,25,OM,DGlcNAc,1,2.641,0.083,3.768,-1.0
ATOM,26,HM1,DGlcNAc,1,1.621,-2.567,2.302,-1.0
ATOM,27,HM2,DGlcNAc,1,3.575,-1.76,5.268,-1.0
ATOM,28,HM3,DGlcNAc,1,3.715,-2.834,3.826,-1.0
ATOM,29,HM4,DGlcNAc,1,2.191,-2.822,4.813,-1.0
ATOM,30,CM,DGlcNAc,1,2.387,-2.282,-1.609,-1.0
ATOM,31,HM1,DGlcNAc,1,2.111,-3.211,-2.066,-1.0
ATOM,32,HM2,DGlcNAc,1,3.45,-2.244,-1.49,-1.0
ATOM,33,HM3,DGlcNAc,1,2.07,-1.47,-2.23,-1.0
ATOM,34,C5,BGAL,2,-3.831,2.33,2.27,74.27
ATOM,35,H5,BGAL,2,-3.462,3.223,1.73,3.81
ATOM,36,O5,BGAL,2,-3.056,1.178,1.851,-1.0
ATOM,37,C1,BGAL,2,-3.121,0.826,0.44,103.68
ATOM,38,H1,BGAL,2,-2.728,1.664,-0.16,4.47
ATOM,41,C2,BGAL,2,-4.587,0.54,0.038,70.83
ATOM,42,H2,BGAL,2,-4.928,-0.378,0.558,3.62
ATOM,43,O2,BGAL,2,-4.667,0.324,-1.352,-1.0
ATOM,44,HO2,BGAL,2,-5.601,0.131,-1.558,-1.0
ATOM,45,C3,BGAL,2,-5.515,1.71,0.443,82.63
ATOM,46,H3,BGAL,2,-5.265,2.588,-0.185,3.72
ATOM,47,O3,BGAL,2,-6.855,1.36,0.206,-1.0
ATOM,49,C4,BGAL,2,-5.337,2.117,1.929,69.1
ATOM,50,H4,BGAL,2,-5.922,3.037,2.129,4.12
ATOM,51,O4,BGAL,2,-5.84,1.081,2.74,-1.0
ATOM,52,HO4,BGAL,2,-6.775,0.956,2.499,-1.0
ATOM,53,C6,BGAL,2,-3.56,2.554,3.786,69.53
ATOM,54,H61,BGAL,2,-4.087,3.454,4.12,3.8
ATOM,55,O6,BGAL,2,-4.002,1.456,4.554,-1.0
ATOM,57,H62,BGAL,2,-2.493,2.725,3.959,4.03
ATOM,58,C1,DGlcNAc,3,-4.972,1.846,5.504,102.23
ATOM,59,C2,DGlcNAc,3,-5.574,0.589,6.174,56.46
ATOM,60,C3,DGlcNAc,3,-6.493,1.012,7.341,74.69
ATOM,61,C4,DGlcNAc,3,-5.757,1.929,8.345,71.02
ATOM,62,C5,DGlcNAc,3,-5.085,3.13,7.613,76.75
ATOM,63,C6,DGlcNAc,3,-4.171,3.963,8.529,61.77
ATOM,65,O3,DGlcNAc,3,-6.949,-0.159,8.006,-1.0
ATOM,66,O4,DGlcNAc,3,-6.711,2.385,9.298,-1.0
ATOM,67,O5,DGlcNAc,3,-4.277,2.655,6.487,-1.0
ATOM,68,O6,DGlcNAc,3,-3.015,3.212,8.897,-1.0
ATOM,70,HO3,DGlcNAc,3,-7.11,-0.789,7.296,-1.0
ATOM,71,HO4,DGlcNAc,3,-7.213,1.596,9.532,-1.0
ATOM,72,HO6,DGlcNAc,3,-2.826,2.655,8.134,-1.0
ATOM,73,H1,DGlcNAc,3,-5.764,2.443,5.006,4.58
ATOM,74,H2,DGlcNAc,3,-4.746,-0.031,6.571,3.7
ATOM,75,H3,DGlcNAc,3,-7.369,1.554,6.929,3.58
ATOM,76,H4,DGlcNAc,3,-4.976,1.339,8.863,3.46
ATOM,77,H5,DGlcNAc,3,-5.885,3.796,7.232,3.47
ATOM,78,H61,DGlcNAc,3,-3.859,4.887,8.005,3.76
ATOM,79,H62,DGlcNAc,3,-4.714,4.295,9.434,3.94
ATOM,80,NM,DGlcNAc,3,-6.315,-0.164,5.22,-1.0
ATOM,81,CM,DGlcNAc,3,-5.949,-1.452,4.93,-1.0
ATOM,82,CM2,DGlcNAc,3,-6.826,-2.126,3.892,-1.0
ATOM,83,OM,DGlcNAc,3,-5.007,-2.028,5.441,-1.0
ATOM,84,HM1,DGlcNAc,3,-7.126,0.26,4.747,-1.0
ATOM,85,HM2,DGlcNAc,3,-6.488,-3.171,3.704,-1.0
ATOM,86,HM3,DGlcNAc,3,-6.778,-1.569,2.928,-1.0
ATOM,87,HM4,DGlcNAc,3,-7.883,-2.162,4.241,-1.0
ATOM,88,C1,DGlcNAc,4,-7.455,2.219,-0.743,103.14
ATOM,89,C2,DGlcNAc,4,-8.85,1.674,-1.125,56.28
ATOM,90,C3,DGlcNAc,4,-9.585,2.702,-2.012,73.09
ATOM,91,C4,DGlcNAc,4,-9.651,4.093,-1.339,79.66
ATOM,92,C5,DGlcNAc,4,-8.235,4.56,-0.884,75.47
ATOM,93,C6,DGlcNAc,4,-8.264,5.84,-0.03,61.24
ATOM,95,O3,DGlcNAc,4,-10.901,2.228,-2.261,-1.0
ATOM,96,O4,DGlcNAc,4,-10.208,5.005,-2.279,-1.0
ATOM,97,O5,DGlcNAc,4,-7.58,3.512,-0.098,-1.0
ATOM,98,O6,DGlcNAc,4,-8.864,5.581,1.237,-1.0
ATOM,100,HO3,DGlcNAc,4,-10.793,1.279,-2.384,-1.0
ATOM,102,HO6,DGlcNAc,4,-8.621,4.673,1.448,-1.0
ATOM,103,H1,DGlcNAc,4,-6.805,2.299,-1.638,4.77
ATOM,104,H2,DGlcNAc,4,-9.433,1.513,-0.196,3.78
ATOM,105,H3,DGlcNAc,4,-9.047,2.792,-2.978,3.76
ATOM,106,H4,DGlcNAc,4,-10.313,4.031,-0.453,3.71
ATOM,107,H5,DGlcNAc,4,-7.63,4.768,-1.79,3.62
ATOM,108,H61,DGlcNAc,4,-7.233,6.212,0.12,3.85
ATOM,109,H62,DGlcNAc,4,-8.808,6.651,-0.551,3.98
ATOM,110,NM,DGlcNAc,4,-8.716,0.44,-1.821,-1.0
ATOM,111,CM,DGlcNAc,4,-9.275,-0.701,-1.306,-1.0
ATOM,112,CM2,DGlcNAc,4,-9.046,-1.938,-2.153,-1.0
ATOM,113,OM,DGlcNAc,4,-9.9,-0.748,-0.263,-1.0
ATOM,114,HM1,DGlcNAc,4,-8.199,0.404,-2.711,-1.0
ATOM,115,HM2,DGlcNAc,4,-9.529,-2.831,-1.692,-1.0
ATOM,116,HM3,DGlcNAc,4,-7.955,-2.145,-2.244,-1.0
ATOM,117,HM4,DGlcNAc,4,-9.478,-1.798,-3.17,-1.0
ATOM,118,C5,BGAL,5,-13.741,4.884,-1.354,76.18
ATOM,119,H5,BGAL,5,-13.676,5.245,-0.31,3.73
ATOM,120,O5,BGAL,5,-12.416,4.498,-1.799,-1.0
ATOM,121,C1,BGAL,5,-11.404,5.545,-1.819,103.8
ATOM,122,H1,BGAL,5,-11.258,5.925,-0.793,4.48
ATOM,125,C2,BGAL,5,-11.86,6.699,-2.742,71.89
ATOM,126,H2,BGAL,5,-11.884,6.332,-3.788,3.57
ATOM,127,O2,BGAL,5,-10.943,7.765,-2.662,-1.0
ATOM,128,HO2,BGAL,5,-11.258,8.46,-3.27,-1.0
ATOM,129,C3,BGAL,5,-13.276,7.192,-2.36,73.55
ATOM,130,H3,BGAL,5,-13.218,7.691,-1.372,3.67
ATOM,131,O3,BGAL,5,-13.725,8.13,-3.306,-1.0
ATOM,132,HO3,BGAL,5,-14.604,8.435,-3.01,-1.0
ATOM,133,C4,BGAL,5,-14.297,6.031,-2.253,69.48
ATOM,134,H4,BGAL,5,-15.254,6.419,-1.85,3.95
ATOM,135,O4,BGAL,5,-14.529,5.517,-3.544,-1.0
ATOM,136,HO4,BGAL,5,-14.861,6.253,-4.09,-1.0
ATOM,137,C6,BGAL,5,-14.628,3.605,-1.354,61.8
ATOM,138,H61,BGAL,5,-14.118,2.809,-0.801,3.77
ATOM,139,O6,BGAL,5,-15.88,3.848,-0.751,-1.0
ATOM,140,HO6,BGAL,5,-16.364,3.02,-0.778,-1.0
ATOM,141,H62,BGAL,5,-14.77,3.243,-2.376,3.79
