Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z,labels
ATOM,1,C1,DGlcA,1,6.599,-5.466,7.324,104.03
ATOM,2,C2,DGlcA,1,5.827,-5.436,8.667,73.82
ATOM,3,C3,DGlcA,1,4.328,-5.729,8.435,76.6
ATOM,4,C4,DGlcA,1,3.718,-4.793,7.368,72.67
ATOM,5,C5,DGlcA,1,4.556,-4.853,6.055,76.63
ATOM,6,C6,DGlcA,1,4.005,-3.907,4.97,-1.0
ATOM,7,OR,DGlcA,1,5.967,-4.574,6.366,-1.0
ATOM,8,O1,DGlcA,1,7.918,-4.989,7.513,-1.0
ATOM,9,O2,DGlcA,1,6.338,-6.411,9.567,-1.0
ATOM,10,O3,DGlcA,1,3.616,-5.555,9.652,-1.0
ATOM,11,O4,DGlcA,1,2.368,-5.19,7.121,-1.0
ATOM,12,O5,DGlcA,1,2.815,-3.861,4.657,-1.0
ATOM,13,O6,DGlcA,1,4.979,-3.14,4.399,-1.0
ATOM,14,H1,DGlcA,1,6.637,-6.499,6.923,4.37
ATOM,15,H2,DGlcA,1,5.93,-4.431,9.121,3.32
ATOM,16,H3,DGlcA,1,4.213,-6.781,8.1,3.52
ATOM,17,H4,DGlcA,1,3.729,-3.754,7.757,3.52
ATOM,18,H5,DGlcA,1,4.479,-5.872,5.631,3.7
ATOM,19,HO6,DGlcA,1,5.815,-3.353,4.823,-1.0
ATOM,20,HO2,DGlcA,1,5.652,-6.511,10.236,-1.0
ATOM,21,HO3,DGlcA,1,2.692,-5.492,9.385,-1.0
ATOM,22,HO4,DGlcA,1,2.087,-4.723,6.321,-1.0
ATOM,23,CM,DGlcA,1,8.644,-5.807,8.433,-1.0
ATOM,24,HM1,DGlcA,1,8.98,-6.693,7.934,-1.0
ATOM,25,HM2,DGlcA,1,8.006,-6.076,9.248,-1.0
ATOM,26,HM3,DGlcA,1,9.488,-5.264,8.806,-1.0
