Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z,labels
ATOM,1,C5,BGAL,1,3.337,1.774,-8.944,74.65
ATOM,2,H5,BGAL,1,3.271,1.274,-9.929,3.87
ATOM,3,O5,BGAL,1,4.702,1.679,-8.463,-1.0
ATOM,4,C1,BGAL,1,5.227,0.338,-8.248,104.68
ATOM,5,H1,BGAL,1,5.227,-0.208,-9.207,4.33
ATOM,6,O1,BGAL,1,6.532,0.436,-7.779,-1.0
ATOM,7,C2,BGAL,1,4.345,-0.412,-7.222,71.58
ATOM,8,H2,BGAL,1,4.452,0.078,-6.233,3.53
ATOM,9,O2,BGAL,1,4.776,-1.748,-7.109,-1.0
ATOM,10,HO2,BGAL,1,4.208,-2.177,-6.442,-1.0
ATOM,11,C3,BGAL,1,2.854,-0.372,-7.633,73.7
ATOM,12,H3,BGAL,1,2.727,-0.987,-8.546,3.65
ATOM,13,O3,BGAL,1,2.063,-0.925,-6.611,-1.0
ATOM,14,HO3,BGAL,1,1.139,-0.907,-6.925,-1.0
ATOM,15,C4,BGAL,1,2.367,1.065,-7.95,69.7
ATOM,16,H4,BGAL,1,1.34,1.021,-8.364,3.97
ATOM,17,O4,BGAL,1,2.336,1.802,-6.75,-1.0
ATOM,18,HO4,BGAL,1,1.737,1.334,-6.141,-1.0
ATOM,19,C6,BGAL,1,3.018,3.281,-9.16,69.7
ATOM,20,H61,BGAL,1,2.011,3.383,-9.579,3.93
ATOM,21,O6,BGAL,1,3.08,3.999,-7.946,-1.0
ATOM,23,H62,BGAL,1,3.711,3.715,-9.886,4.06
ATOM,24,CM,BGAL,1,7.112,-0.854,-7.57,-1.0
ATOM,25,HM1,BGAL,1,8.019,-0.751,-7.011,-1.0
ATOM,26,HM2,BGAL,1,7.324,-1.305,-8.516,-1.0
ATOM,27,HM3,BGAL,1,6.425,-1.471,-7.028,-1.0
ATOM,28,C1,DGlcA,2,1.844,4.62,-7.647,103.48
ATOM,29,C2,DGlcA,2,1.881,5.212,-6.216,73.85
ATOM,30,C3,DGlcA,2,0.636,6.09,-5.962,76.56
ATOM,31,C4,DGlcA,2,0.459,7.167,-7.056,72.72
ATOM,32,C5,DGlcA,2,0.456,6.507,-8.468,77.0
ATOM,33,C6,DGlcA,2,0.317,7.548,-9.596,-1.0
ATOM,34,OR,DGlcA,2,1.666,5.684,-8.622,-1.0
ATOM,36,O2,DGlcA,2,1.904,4.178,-5.24,-1.0
ATOM,37,O3,DGlcA,2,0.759,6.737,-4.703,-1.0
ATOM,38,O4,DGlcA,2,-0.766,7.865,-6.825,-1.0
ATOM,39,O5,DGlcA,2,-0.535,8.436,-9.592,-1.0
ATOM,40,O6,DGlcA,2,1.235,7.369,-10.591,-1.0
ATOM,41,H1,DGlcA,2,1.028,3.874,-7.736,4.54
ATOM,42,H2,DGlcA,2,2.789,5.837,-6.107,3.36
ATOM,43,H3,DGlcA,2,-0.266,5.442,-5.945,3.53
ATOM,44,H4,DGlcA,2,1.306,7.881,-6.992,3.52
ATOM,45,H5,DGlcA,2,-0.433,5.853,-8.552,3.72
ATOM,46,HO6,DGlcA,2,1.791,6.622,-10.354,-1.0
ATOM,48,HO2,DGlcA,2,1.653,4.611,-4.417,-1.0
ATOM,49,HO3,DGlcA,2,0.106,7.445,-4.73,-1.0
ATOM,50,HO4,DGlcA,2,-0.941,8.383,-7.624,-1.0
