Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z,labels
ATOM,1,C1,DGalNAc,1,1.374,-0.843,0.163,99.05
ATOM,2,C2,DGalNAc,1,0.732,-0.633,1.531,51.3
ATOM,3,C3,DGalNAc,1,-0.774,-0.827,1.489,68.97
ATOM,4,C4,DGalNAc,1,-1.383,-0.008,0.373,78.53
ATOM,5,C5,DGalNAc,1,-0.678,-0.325,-0.946,69.45
ATOM,6,C6,DGalNAc,1,-1.184,0.452,-2.142,69.47
ATOM,7,O3,DGalNAc,1,-1.327,-0.399,2.74,-1.0
ATOM,8,O5,DGalNAc,1,0.712,0.002,-0.787,-1.0
ATOM,9,O6,DGalNAc,1,-1.689,-0.405,-3.155,-1.0
ATOM,10,HO3,DGalNAc,1,-1.646,-1.335,3.2,-1.0
ATOM,12,O1,DGalNAc,1,1.334,-2.177,-0.328,-1.0
ATOM,13,O4,DGalNAc,1,-1.232,1.349,0.769,-1.0
ATOM,15,H5,DGalNAc,1,-0.817,-1.344,-1.181,4.06
ATOM,16,H61,DGalNAc,1,-1.777,1.252,-2.194,3.82
ATOM,17,H62,DGalNAc,1,-0.384,0.996,-2.553,4.13
ATOM,18,H1,DGalNAc,1,2.439,-0.615,0.222,4.85
ATOM,19,H2,DGalNAc,1,0.959,0.386,1.842,4.28
ATOM,20,H3,DGalNAc,1,-0.989,-1.883,1.324,4.01
ATOM,21,H4,DGalNAc,1,-2.439,-0.224,0.209,4.24
ATOM,22,NM,DGalNAc,1,1.31,-1.554,2.447,-1.0
ATOM,23,CM,DGalNAc,1,2.024,-1.094,3.523,-1.0
ATOM,24,CM2,DGalNAc,1,2.585,-2.191,4.407,-1.0
ATOM,25,OM,DGalNAc,1,2.212,0.083,3.768,-1.0
ATOM,26,HM1,DGalNAc,1,1.192,-2.567,2.302,-1.0
ATOM,27,HM2,DGalNAc,1,3.146,-1.76,5.268,-1.0
ATOM,28,HM3,DGalNAc,1,3.286,-2.834,3.826,-1.0
ATOM,29,HM4,DGalNAc,1,1.762,-2.822,4.813,-1.0
ATOM,30,CM,DGalNAc,1,1.958,-2.282,-1.609,-1.0
ATOM,31,HM1,DGalNAc,1,1.797,-3.264,-2.006,-1.0
ATOM,32,HM2,DGalNAc,1,3.008,-2.106,-1.507,-1.0
ATOM,33,HM3,DGalNAc,1,1.538,-1.555,-2.273,-1.0
ATOM,34,C1,DGlcNAc,2,-2.776,0.185,-3.838,102.23
ATOM,35,C2,DGlcNAc,2,-2.46,0.258,-5.349,56.46
ATOM,36,C3,DGlcNAc,2,-3.713,0.725,-6.121,74.69
ATOM,37,C4,DGlcNAc,2,-4.94,-0.164,-5.809,71.02
ATOM,38,C5,DGlcNAc,2,-5.163,-0.286,-4.272,76.75
ATOM,39,C6,DGlcNAc,2,-6.242,-1.318,-3.896,61.77
ATOM,41,O3,DGlcNAc,2,-3.431,0.681,-7.513,-1.0
ATOM,42,O4,DGlcNAc,2,-6.072,0.421,-6.442,-1.0
ATOM,43,O5,DGlcNAc,2,-3.919,-0.677,-3.604,-1.0
ATOM,44,O6,DGlcNAc,2,-5.793,-2.639,-4.192,-1.0
ATOM,46,HO3,DGlcNAc,2,-2.519,0.986,-7.581,-1.0
ATOM,47,HO4,DGlcNAc,2,-5.763,0.65,-7.326,-1.0
ATOM,48,HO6,DGlcNAc,2,-4.842,-2.62,-4.042,-1.0
ATOM,49,H1,DGlcNAc,2,-2.969,1.198,-3.428,4.58
ATOM,50,H2,DGlcNAc,2,-2.174,-0.754,-5.699,3.7
ATOM,51,H3,DGlcNAc,2,-3.941,1.771,-5.834,3.58
ATOM,52,H4,DGlcNAc,2,-4.766,-1.174,-6.231,3.46
ATOM,53,H5,DGlcNAc,2,-5.488,0.702,-3.888,3.47
ATOM,54,H61,DGlcNAc,2,-6.472,-1.241,-2.816,3.76
ATOM,55,H62,DGlcNAc,2,-7.19,-1.109,-4.427,3.94
ATOM,56,NM,DGlcNAc,2,-1.383,1.161,-5.578,-1.0
ATOM,57,CM,DGlcNAc,2,-0.223,0.712,-6.154,-1.0
ATOM,58,CM2,DGlcNAc,2,0.835,1.784,-6.33,-1.0
ATOM,59,OM,DGlcNAc,2,-0.03,-0.439,-6.498,-1.0
ATOM,60,HM1,DGlcNAc,2,-1.476,2.151,-5.311,-1.0
ATOM,61,HM2,DGlcNAc,2,1.75,1.365,-6.81,-1.0
ATOM,62,HM3,DGlcNAc,2,1.126,2.204,-5.339,-1.0
ATOM,63,HM4,DGlcNAc,2,0.451,2.606,-6.976,-1.0
ATOM,64,C1,DGlcNAc,3,-2.481,2.005,0.855,103.63
