Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z,labels
ATOM,1,C1,DGlcNAc,1,-1.286,1.938,-0.094,103.5
ATOM,2,C2,DGlcNAc,1,-1.944,2.3,1.257,55.6
ATOM,3,C3,DGlcNAc,1,-3.472,2.102,1.161,78.2
ATOM,4,C4,DGlcNAc,1,-4.076,2.887,-0.027,69.7
ATOM,5,C5,DGlcNAc,1,-3.32,2.563,-1.351,76.4
ATOM,6,C6,DGlcNAc,1,-3.742,3.463,-2.526,61.8
ATOM,7,O1,DGlcNAc,1,0.084,2.283,-0.06,-1.0
ATOM,8,O3,DGlcNAc,1,-4.064,2.542,2.376,-1.0
ATOM,9,O4,DGlcNAc,1,-5.451,2.533,-0.128,-1.0
ATOM,10,O5,DGlcNAc,1,-1.875,2.718,-1.165,-1.0
ATOM,11,O6,DGlcNAc,1,-3.308,4.804,-2.308,-1.0
ATOM,13,HO4,DGlcNAc,1,-5.775,2.564,0.779,-1.0
ATOM,14,HO6,DGlcNAc,1,-2.478,4.723,-1.826,-1.0
ATOM,15,H1,DGlcNAc,1,-1.393,0.854,-0.305,4.36
ATOM,16,H2,DGlcNAc,1,-1.729,3.364,1.481,3.8
ATOM,17,H3,DGlcNAc,1,-3.686,1.022,1.028,4.0
ATOM,18,H4,DGlcNAc,1,-3.992,3.972,0.181,3.49
ATOM,19,H5,DGlcNAc,1,-3.541,1.513,-1.629,3.5
ATOM,20,H61,DGlcNAc,1,-3.301,3.081,-3.466,3.77
ATOM,21,H62,DGlcNAc,1,-4.839,3.436,-2.67,3.95
ATOM,22,NM,DGlcNAc,1,-1.412,1.481,2.293,-1.0
ATOM,23,CM,DGlcNAc,1,-0.755,2.054,3.351,-1.0
ATOM,24,CM2,DGlcNAc,1,-0.239,1.058,4.371,-1.0
ATOM,25,OM,DGlcNAc,1,-0.583,3.251,3.483,-1.0
ATOM,26,HM1,DGlcNAc,1,-1.521,0.458,2.247,-1.0
ATOM,27,HM2,DGlcNAc,1,0.276,1.579,5.211,-1.0
ATOM,28,HM3,DGlcNAc,1,0.491,0.363,3.896,-1.0
ATOM,29,HM4,DGlcNAc,1,-1.082,0.466,4.797,-1.0
ATOM,30,CM,DGlcNAc,1,0.782,1.556,0.954,-1.0
ATOM,31,HM1,DGlcNAc,1,0.376,0.568,1.029,-1.0
ATOM,32,HM2,DGlcNAc,1,0.672,2.061,1.891,-1.0
ATOM,33,HM3,DGlcNAc,1,1.821,1.498,0.701,-1.0
ATOM,34,C5,DGal6SO3,2,-6.726,0.072,2.786,73.72
ATOM,35,H5,DGal6SO3,2,-6.118,-0.851,2.85,3.92
ATOM,36,O5,DGal6SO3,2,-5.9,1.137,2.25,-1.0
ATOM,37,C1,DGal6SO3,2,-4.724,1.505,3.026,100.79
ATOM,38,H1,DGal6SO3,2,-4.05,0.634,3.095,4.62
ATOM,41,C2,DGal6SO3,2,-5.15,1.949,4.445,77.12
ATOM,42,H2,DGal6SO3,2,-5.724,2.894,4.367,3.58
ATOM,43,O2,DGal6SO3,2,-4.007,2.183,5.234,-1.0
ATOM,45,C3,DGal6SO3,2,-6.046,0.882,5.118,73.66
ATOM,46,H3,DGal6SO3,2,-5.426,-0.012,5.328,3.83
ATOM,47,O3,DGal6SO3,2,-6.54,1.376,6.338,-1.0
ATOM,48,HO3,DGal6SO3,2,-7.072,0.663,6.739,-1.0
ATOM,49,C4,DGal6SO3,2,-7.227,0.448,4.214,69.79
ATOM,50,H4,DGal6SO3,2,-7.754,-0.406,4.685,3.92
ATOM,51,O4,DGal6SO3,2,-8.127,1.526,4.105,-1.0
ATOM,52,HO4,DGal6SO3,2,-8.415,1.752,5.007,-1.0
ATOM,53,C6,DGal6SO3,2,-7.874,-0.191,1.77,68.33
ATOM,54,H61,DGal6SO3,2,-8.498,0.705,1.688,4.16
ATOM,55,O6,DGal6SO3,2,-7.366,-0.511,0.493,-1.0
ATOM,56,H62,DGal6SO3,2,-8.519,-0.998,2.128,4.2
ATOM,57,SM,DGal6SO3,2,-7.816,0.418,-0.498,-1.0
ATOM,58,OM1,DGal6SO3,2,-9.236,0.569,-0.402,-1.0
ATOM,59,OM2,DGal6SO3,2,-7.14,1.782,-0.268,-1.0
ATOM,60,OM3,DGal6SO3,2,-7.476,-0.068,-1.797,-1.0
ATOM,61,HM,DGal6SO3,2,-7.778,0.555,-2.462,-1.0
ATOM,62,C1,AFL,3,-3.947,3.538,5.678,100.4
ATOM,63,C2,AFL,3,-2.858,3.803,6.735,69.0
ATOM,64,C3,AFL,3,-1.461,3.729,6.102,70.3
ATOM,65,C4,AFL,3,-1.403,4.661,4.88,72.7
ATOM,66,C5,AFL,3,-2.548,4.319,3.914,67.3
ATOM,67,C6,AFL,3,-2.602,5.228,2.679,16.0
ATOM,68,O5,AFL,3,-3.822,4.422,4.56,-1.0
ATOM,70,O2,AFL,3,-3.06,2.893,7.813,-1.0
ATOM,71,O3,AFL,3,-0.48,4.031,7.09,-1.0
ATOM,72,O4,AFL,3,-1.529,6.032,5.253,-1.0
ATOM,73,H5,AFL,3,-2.395,3.285,3.55,4.31
ATOM,74,H1,AFL,3,-4.934,3.747,6.107,5.2
ATOM,76,H2,AFL,3,-3.006,4.834,7.114,3.78
ATOM,77,HO2,AFL,3,-2.462,3.171,8.519,-1.0
ATOM,78,H3,AFL,3,-1.3,2.689,5.759,3.71
ATOM,79,HO3,AFL,3,0.374,3.782,6.712,-1.0
ATOM,80,H4,AFL,3,-0.441,4.53,4.35,3.77
ATOM,81,HO4,AFL,3,-0.744,6.247,5.775,-1.0
ATOM,82,H6,AFL,3,-1.651,5.226,2.124,1.23
ATOM,83,H22,AFL,3,-3.397,4.888,1.996,-1.0
ATOM,84,H23,AFL,3,-2.831,6.266,2.968,-1.0
