Residual,Connection,Atom,Shift,Residual Num
B-D-GLCP1OME, ,H1,4.47,1
B-D-GLCP1OME, ,H2,3.32,1
B-D-GLCP1OME, ,H3,3.68,1
B-D-GLCP1OME, ,H4,3.38,1
B-D-GLCP1OME, ,H5,3.45,1
B-D-GLCP1OME, ,H61,3.72,1
B-D-GLCP1OME, ,H62,3.93,1
A-L-FUCP,2,H1,5.15,2
A-L-FUCP,2,H2,3.78,2
A-L-FUCP,2,H3,3.87,2
A-L-FUCP,2,H4,3.81,2
A-L-FUCP,2,H5,4.26,2
A-L-FUCP,2,H61,1.2,2
B-D-GLCP1OME, ,C1,103.7,1
B-D-GLCP1OME, ,C2,81.4,1
B-D-GLCP1OME, ,C3,77.7,1
B-D-GLCP1OME, ,C4,71.1,1
B-D-GLCP1OME, ,C5,77.0,1
B-D-GLCP1OME, ,C6,62.3,1
B-D-GLCP1OME, ,Ome,58.4,1
A-L-FUCP,2,C1,101.3,2
A-L-FUCP,2,C2,69.9,2
A-L-FUCP,2,C3,71.1,2
A-L-FUCP,2,C4,73.3,2
A-L-FUCP,2,C5,68.2,2
A-L-FUCP,2,C6,16.4,2
