Residual,Connection,Atom,Shift,Residual Num
A-D-GLCP1OME, ,H1,4.94,1
A-D-GLCP1OME, ,H2,3.55,1
A-D-GLCP1OME, ,H3,3.79,1
A-D-GLCP1OME, ,H4,3.47,1
A-D-GLCP1OME, ,H5,3.64,1
A-D-GLCP1OME, ,H61,3.77,1
A-D-GLCP1OME, ,H62,3.9,1
A-L-FUCP,2,H1,5.08,2
A-L-FUCP,2,H2,3.79,2
A-L-FUCP,2,H3,3.9,2
A-L-FUCP,2,H4,3.84,2
A-L-FUCP,2,H5,4.1,2
A-L-FUCP,2,H6,1.26,2
A-D-GLCP1OME, ,C1,100.0,1
A-D-GLCP1OME, ,C2,81.7,1
A-D-GLCP1OME, ,C3,73.3,1
A-D-GLCP1OME, ,C4,70.8,1
A-D-GLCP1OME, ,C5,72.6,1
A-D-GLCP1OME, ,C6,61.9,1
A-D-GLCP1OME, ,OMe,56.0,1
A-L-FUCP,2,C1,102.6,2
A-L-FUCP,2,C2,69.6,2
A-L-FUCP,2,C3,70.8,2
A-L-FUCP,2,C4,73.0,2
A-L-FUCP,2,C5,68.4,2
A-L-FUCP,2,C6,16.7,2
