Lineage	Residue	Trust	C1	C2	C3	C4	C5	C6
	a-D-Galp	100%	93.5	69.6	69.9	79.9	71.9	61.7
4	a-D-GalpA	0%	102.3	72.8	80.1	80.6	72.0	176.4
4,3	b-D-GlcpA	38%	105.0	70.6	81.2	78.0	75.7	174.4
4,3,3	a-D-Glcp	100%	100.0	72.7	74.0	70.9	73.7	61.9
4,3,4	b-D-GlcpA	38%	103.5	77.8	76.2	77.3	77.1	174.4
4,3,4,2	a-D-Glcp	100%	98.9	72.7	74.0	70.9	73.7	61.9
4,3,4,4	a-D-Galp	100%	99.3	69.6	70.4	70.6	70.9	70.2
4,3,4,4,6	b-D-Glcp	100%	103.8	74.4	77.0	70.9	77.2	62.1
4,2	S	50%
4,4	b-D-Glcp	100%	104.9	74.4	77.0	70.9	77.2	62.1
