Lineage	Residue	Trust	C1	C2	C3	C4	C5	C6
	a-D-Galp	91%	93.1	69.2	69.6	79.4	72.2	61.8
4	a-D-GalpA	67%	101.2	76.9	80.1	81.5	74.6	177.6
4,3	b-D-GlcpA	58%	106.5	74.3	82.7	80.1	79.1	179.2
4,3,3	a-D-Glcp	87%	100.5	73.2	74.4	71.2	73.9	61.8
4,3,4	b-D-GlcpA	56%	103.0	82.1	78.6	78.7	76.8	179.2
4,3,4,2	a-D-Glcp	92%	98.5	72.6	74.0	70.8	73.3	61.8
4,3,4,4	a-D-Galp	87%	99.6	70.0	70.7	71.0	71.5	70.0
4,3,4,4,6	b-D-Glcp	96%	103.9	74.5	77.1	71.0	77.2	62.1
4,2	S		
4,4	b-D-Glcp	88%	104.6	74.2	76.8	70.8	77.0	62.1
