Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z,atoms_simplify,labels
HETATM,1,C1,NAG,1,1.362,-0.723,0.397,C,95.85
HETATM,2,C2,NAG,1,-0.112,-0.365,0.771,C,57.86
HETATM,3,C3,NAG,1,-0.91,-0.006,-0.521,C,74.81
HETATM,4,C4,NAG,1,-0.193,1.08,-1.349,C,71.06
HETATM,5,C5,NAG,1,1.27,0.66,-1.658,C,76.82
HETATM,6,C6,NAG,1,2.061,1.758,-2.395,C,61.85
HETATM,7,CO2,NAG,1,-1.508,-1.342,2.566,C,-1.0
HETATM,8,CM2,NAG,1,-2.18,-2.593,3.093,C,-1.0
HETATM,9,OH1,NAG,1,2.167,-0.817,1.563,O,-1.0
HETATM,10,OH3,NAG,1,-2.222,0.477,-0.221,O,-1.0
HETATM,11,OH4,NAG,1,-0.94,1.278,-2.545,O,-1.0
HETATM,12,O5,NAG,1,1.961,0.324,-0.414,O,-1.0
HETATM,13,OH6,NAG,1,2.155,2.955,-1.619,O,-1.0
HETATM,14,OC2,NAG,1,-1.699,-0.263,3.114,O,-1.0
HETATM,15,N2,NAG,1,-0.771,-1.504,1.47,N,-1.0
HETATM,16,HO1,NAG,1,2.329,0.096,1.814,H,-1.0
HETATM,17,H2,NAG,1,-0.071,0.539,1.414,H,3.65
HETATM,18,H3,NAG,1,-1.004,-0.914,-1.15,H,3.56
HETATM,19,H4,NAG,1,-0.174,2.024,-0.767,H,3.46
HETATM,20,H5,NAG,1,1.25,-0.235,-2.311,H,3.46
HETATM,21,H6S,NAG,1,3.074,1.385,-2.638,H,-1.0
HETATM,22,H6R,NAG,1,1.571,1.973,-3.364,H,-1.0
HETATM,23,1HM2,NAG,1,-2.164,-2.592,4.197,H,-1.0
HETATM,24,2HM2,NAG,1,-1.708,-3.532,2.752,H,-1.0
HETATM,25,3HM2,NAG,1,-3.237,-2.603,2.778,H,-1.0
HETATM,26,HO3,NAG,1,-2.699,-0.257,0.177,H,-1.0
HETATM,27,HO4,NAG,1,-1.844,1.401,-2.238,H,-1.0
HETATM,28,HO6,NAG,1,2.421,3.663,-2.212,H,-1.0
HETATM,29,HN2,NAG,1,-0.593,-2.481,1.234,H,-1.0
HETATM,30,H1,NAG,1,1.406,-1.685,-0.151,H,4.72
