Atom,Atom_Num,Atom_Type,Monosaccharide_belong,residual,x,y,z,atoms_simplify,labels
HETATM,1,C1,GDL,1,-1.717,2.847,-2.449,C,95.5
HETATM,2,C2,GDL,1,-3.167,2.473,-2.158,C,54.6
HETATM,3,C3,GDL,1,-3.293,1.603,-0.919,C,70.6
HETATM,4,C4,GDL,1,-2.342,0.431,-0.996,C,78.2
HETATM,5,C5,GDL,1,-0.922,0.932,-1.261,C,72.0
HETATM,6,C6,GDL,1,0.125,-0.153,-1.383,C,60.9
HETATM,7,OH3,GDL,1,-4.637,1.112,-0.838,O,-1.0
HETATM,8,O4,GDL,1,-2.335,-0.3,0.221,O,-1.0
HETATM,9,O5,GDL,1,-0.939,1.645,-2.509,O,-1.0
HETATM,10,OH6,GDL,1,-0.171,-1.06,-2.433,O,-1.0
HETATM,11,HO3,GDL,1,-5.045,1.651,0.017,H,-1.0
HETATM,12,HO6,GDL,1,0.451,-1.337,-3.284,H,-1.0
HETATM,13,OH1,GDL,1,-1.113,3.719,-1.502,O,-1.0
HETATM,14,HO1,GDL,1,-1.12,3.248,-0.519,H,-1.0
HETATM,15,H5,GDL,1,-0.612,1.547,-0.462,H,3.84
HETATM,16,H6S,GDL,1,1.121,-0.098,-1.394,H,-1.0
HETATM,17,H6R,GDL,1,0.148,-0.701,-0.486,H,-1.0
HETATM,18,H1,GDL,1,-1.665,3.399,-3.388,H,5.13
HETATM,19,H3,GDL,1,-3.059,2.205,-0.041,H,3.72
HETATM,20,H4,GDL,1,-2.677,-0.216,-1.806,H,3.68
HETATM,21,H2,GDL,1,-3.541,1.928,-3.025,H,3.92
HETATM,22,N2,GDL,1,-3.928,3.688,-1.982,N,-1.0
HETATM,23,CO2,GDL,1,-4.474,4.319,-3.069,C,-1.0
HETATM,24,CM2,GDL,1,-5.238,5.585,-2.73,C,-1.0
HETATM,25,OC2,GDL,1,-4.368,3.925,-4.215,O,-1.0
HETATM,26,HN2,GDL,1,-4.059,4.081,-1.039,H,-1.0
HETATM,27,1HM2,GDL,1,-5.666,6.049,-3.648,H,-1.0
HETATM,28,2HM2,GDL,1,-4.559,6.329,-2.253,H,-1.0
HETATM,29,3HM2,GDL,1,-6.077,5.357,-2.034,H,-1.0
HETATM,30,C1,IDE,2,-2.699,-1.667,0.152,C,102.5
HETATM,31,C2,IDE,2,-2.46,-2.3,1.544,C,70.9
HETATM,32,C3,IDE,2,-2.962,-3.76,1.555,C,70.6
HETATM,33,C4,IDE,2,-4.441,-3.828,1.123,C,75.8
HETATM,34,C5,IDE,2,-4.644,-3.149,-0.265,C,70.9
HETATM,35,C6,IDE,2,-3.842,-3.932,-1.32,C,175.1
HETATM,36,OH2,IDE,2,-1.08,-2.288,1.889,O,-1.0
HETATM,37,OH3,IDE,2,-2.856,-4.311,2.858,O,-1.0
HETATM,38,OH4,IDE,2,-4.873,-5.184,1.05,O,-1.0
HETATM,39,O5,IDE,2,-4.106,-1.777,-0.209,O,-1.0
HETATM,40,O6,IDE,2,-3.869,-3.55,-2.518,O,-1.0
HETATM,41,O6,IDE,2,-3.184,-4.933,-0.966,O,-1.0
HETATM,42,H5,IDE,2,-5.709,-3.123,-0.493,H,4.67
HETATM,43,HO2,IDE,2,-1.003,-3.017,2.514,H,-1.0
HETATM,44,HO3,IDE,2,-3.587,-4.939,2.881,H,-1.0
HETATM,45,HO4,IDE,2,-5.612,-5.12,0.402,H,-1.0
HETATM,46,H1,IDE,2,-2.079,-2.171,-0.616,H,4.88
HETATM,47,H2,IDE,2,-3.035,-1.721,2.294,H,3.64
HETATM,48,H3,IDE,2,-2.357,-4.369,0.852,H,3.82
HETATM,49,H4,IDE,2,-5.071,-3.287,1.857,H,4.03
