Residual,Connection,Atom,Shift
B-D-GLCPNAC, ,H1,4.67
B-D-GLCPNAC, ,H2,3.64
B-D-GLCPNAC, ,H3,3.48
B-D-GLCPNAC, ,H4,3.36
B-D-GLCPNAC, ,H5,3.29
B-D-GLCPNAC, ,H6,3.78
B-D-GLCPNAC, ,NAc,1.91
A-L-RHAP,3,H1,4.73
A-L-RHAP,3,H2,3.87
A-L-RHAP,3,H3,3.65
A-L-RHAP,3,H4,3.35
A-L-RHAP,3,H5,3.87
A-L-RHAP,3,H6,1.1
B-D-GLCPNAC, ,C1,102.4
B-D-GLCPNAC, ,C2,57.5
B-D-GLCPNAC, ,C3,74.9
B-D-GLCPNAC, ,C4,71.1
B-D-GLCPNAC, ,C5,76.5
B-D-GLCPNAC, ,C6,62.4
A-L-RHAP,3,C1,102.6
A-L-RHAP,3,C2,71.8
A-L-RHAP,3,C3,81.8
A-L-RHAP,3,C4,72.3
A-L-RHAP,3,C5,70.5
A-L-RHAP,3,C6,17.9
