Residual,Connection,Atom,Shift
A-D-MANP, ,H1,5.41
A-D-MANP, ,H2,4.02
A-D-MANP, ,H3,3.93
A-D-MANP, ,H4,3.73
A-D-MANP, ,H5,3.81
A-D-MANP, ,H6 a,3.84
A-D-MANP, ,H6 b,3.84
B-L-FUCP,2,H1,4.54
B-L-FUCP,2,H2,3.56
B-L-FUCP,2,H3,3.65
B-L-FUCP,2,H4,3.74
B-L-FUCP,2,H5,3.78
B-L-FUCP,2,H6,1.26
A-D-MANP, ,C1,94.08
A-D-MANP, ,C2,80.96
A-D-MANP, ,C3,71.22
A-D-MANP, ,C4,68.35
A-D-MANP, ,C5,73.3
A-D-MANP, ,C6,61.98
B-L-FUCP,2,C1,105.34
B-L-FUCP,2,C2,72.07
B-L-FUCP,2,C3,73.94
B-L-FUCP,2,C4,72.21
B-L-FUCP,2,C5,71.73
B-L-FUCP,2,C6,16.17
