Residual,Connection,Atom,Shift
B-D-FUCPNAC, ,H1,4.61
B-D-FUCPNAC, ,H2,4.03
B-D-FUCPNAC, ,H3,3.79
B-D-FUCPNAC, ,H4,4.28
B-D-FUCPNAC, ,H5,3.78
B-D-FUCPNAC, ,H6,1.28
A-L-GULPA,3,H1,5.24
A-L-GULPA,3,H2,3.64
A-L-GULPA,3,H3,4.15
A-L-GULPA,3,H4,4.24
A-L-GULPA,3,H5,4.98
A-D-GLCPNAC," 3, 4",H1,5.07
A-D-GLCPNAC," 3, 4",H2,3.99
A-D-GLCPNAC," 3, 4",H3,3.83
A-D-GLCPNAC," 3, 4",H4,3.66
A-D-GLCPNAC," 3, 4",H5,3.79
A-D-GLCPNAC," 3, 4",H61,3.74
A-D-GLCPNAC," 3, 4",H62,4.03
A-D-GLCPA," 3, 4, 6",H1,5.05
A-D-GLCPA," 3, 4, 6",H2,3.67
A-D-GLCPA," 3, 4, 6",H3,4.01
A-D-GLCPA," 3, 4, 6",H4,3.8
A-D-GLCPA," 3, 4, 6",H5,4.27
A-D-QUIP4N," 3, 4, 6, 4",H1,5.35
A-D-QUIP4N," 3, 4, 6, 4",H2,3.71
A-D-QUIP4N," 3, 4, 6, 4",H3,3.67
A-D-QUIP4N," 3, 4, 6, 4",H4,2.89
A-D-QUIP4N," 3, 4, 6, 4",H5,3.68
A-D-QUIP4N," 3, 4, 6, 4",H6,1.3
B-D-FUCPNAC, ,C1,103.5
B-D-FUCPNAC, ,C2,52.2
B-D-FUCPNAC, ,C3,82.8
B-D-FUCPNAC, ,C4,72.4
B-D-FUCPNAC, ,C5,71.9
B-D-FUCPNAC, ,C6,16.8
A-L-GULPA,3,C1,102.2
A-L-GULPA,3,C2,51.1
A-L-GULPA,3,C3,66.9
A-L-GULPA,3,C4,75.9
A-L-GULPA,3,C5,67.5
A-L-GULPA,3,C6,174.2
A-D-GLCPNAC," 3, 4",C1,96.8
A-D-GLCPNAC," 3, 4",C2,54.5
A-D-GLCPNAC," 3, 4",C3,71.9
A-D-GLCPNAC," 3, 4",C4,71.1
A-D-GLCPNAC," 3, 4",C5,72.3
A-D-GLCPNAC," 3, 4",C6,67.3
A-D-GLCPA," 3, 4, 6",C1,99.5
A-D-GLCPA," 3, 4, 6",C2,72.5
A-D-GLCPA," 3, 4, 6",C3,74.4
A-D-GLCPA," 3, 4, 6",C4,78.4
A-D-GLCPA," 3, 4, 6",C5,72
A-D-GLCPA," 3, 4, 6",C6,175.4
A-D-QUIP4N," 3, 4, 6, 4",C1,100.2
A-D-QUIP4N," 3, 4, 6, 4",C2,72
A-D-QUIP4N," 3, 4, 6, 4",C3,80.4
A-D-QUIP4N," 3, 4, 6, 4",C4,60
A-D-QUIP4N," 3, 4, 6, 4",C5,70.7
A-D-QUIP4N," 3, 4, 6, 4",C6,18.9
