Residual,Connection,Atom,Shift
allyl, ,H11,3.93
allyl, ,H12,3.83
allyl, ,H2,5.98
allyl, ,H31,5.23
allyl, ,H32,5.35
a-D-Kdop,1,H31,1.92
a-D-Kdop,1,H32,2.02
a-D-Kdop,1,H4,4.15
a-D-Kdop,1,H5,4.08
a-D-Kdop,1,H6,3.56
a-D-Kdop,1,H7,3.95
a-D-Kdop,1,H81,3.61
a-D-Kdop,1,H82,3.93
a-D-Kdop,1,,0
a-D-Kdop," 4,1",H31,1.78
a-D-Kdop," 4,1",H32,2.14
a-D-Kdop," 4,1",H4,4.1
a-D-Kdop," 4,1",H5,4.05
a-D-Kdop," 4,1",H6,3.62
a-D-Kdop," 4,1",H7,4
a-D-Kdop," 4,1",H81,3.74
a-D-Kdop," 4,1",H82,3.96
allyl, ,C1,65
allyl, ,C2,135
allyl, ,C3,118.2
a-D-Kdop,1,C1,176
a-D-Kdop,1,C2,101
a-D-Kdop,1,C3,34.2
a-D-Kdop,1,C4,69.5
a-D-Kdop,1,C5,65.2
a-D-Kdop,1,C6,72.4
a-D-Kdop,1,C7,70.5
a-D-Kdop,1,C8,64
a-D-Kdop," 4,1",C1,176.8
a-D-Kdop," 4,1",C2,110.2
a-D-Kdop," 4,1",C3,35.4
a-D-Kdop," 4,1",C4,66.8
a-D-Kdop," 4,1",C5,67.2
a-D-Kdop," 4,1",C6,73.3
a-D-Kdop," 4,1",C7,70.9
a-D-Kdop," 4,1",C8,64
