Residual,Connection,Atom,Shift
a-L-Rhap," 3,until",H1,5.13
a-L-Rhap," 3,until",H2,4.27
a-L-Rhap," 3,until",H3,3.92
a-L-Rhap," 3,until",H4,3.6
a-L-Rhap," 3,until",H5,4.04
a-L-Rhap," 3,until",CH3,1.26
b-D-GlcpA," 3,3,until",H1,4.69
b-D-GlcpA," 3,3,until",H2,3.52
b-D-GlcpA," 3,3,until",H3,3.62
b-D-GlcpA," 3,3,until",H4,3.63
b-D-GlcpA," 3,3,until",H5,3.84
a-L-Rhap," 3,until",C1,101.5
a-L-Rhap," 3,until",C2,70.7
a-L-Rhap," 3,until",C3,81.5
a-L-Rhap," 3,until",C4,71.9
a-L-Rhap," 3,until",C5,69.6
a-L-Rhap," 3,until",C6,17.5
b-D-GlcpA," 3,3,until",C1,104.3
b-D-GlcpA," 3,3,until",C2,74.5
b-D-GlcpA," 3,3,until",C3,82.68
b-D-GlcpA," 3,3,until",C4,71
b-D-GlcpA," 3,3,until",C5,76.6
b-D-GlcpA," 3,3,until",C6,175.2
