Residual,Connection,Atom,Shift
A-D-GALPA, ,H1,5.3
A-D-GALPA, ,H2,3.95
A-D-GALPA, ,H3,4.12
A-D-GALPA, ,H4,4.45
A-D-GALPA, ,H5,4.25
A-D-GLCPNAC,4,H1,4.95
A-D-GLCPNAC,4,H2,4.07
A-D-GLCPNAC,4,H3,3.9
A-D-GLCPNAC,4,H4,3.67
A-D-GLCPNAC,4,H5,4.22
A-D-GLCPNAC,4,H61,3.87
A-D-GLCPNAC,4,H62,3.78
B-D-GALP," 4, 3",H1,4.48
B-D-GALP," 4, 3",H2,3.52
B-D-GALP," 4, 3",H3,3.8
B-D-GALP," 4, 3",H4,4.06
B-D-GALP," 4, 3",H5,3.76
B-D-GALP," 4, 3",H6,3.78
B-D-RIBF," 4, 3, 4",H1,5.41
B-D-RIBF," 4, 3, 4",H2,4.26
B-D-RIBF," 4, 3, 4",H3,4.77
B-D-RIBF," 4, 3, 4",H4,4.08
B-D-RIBF," 4, 3, 4",H51,3.85
B-D-RIBF," 4, 3, 4",H52,3.69
A-D-GALPA, ,C1,99.2
A-D-GALPA, ,C2,68.9
A-D-GALPA, ,C3,69.4
A-D-GALPA, ,C4,80
A-D-GALPA, ,C5,71.6
A-D-GALPA, ,C6,178.6
A-D-GLCPNAC,4,C1,100.3
A-D-GLCPNAC,4,C2,53.9
A-D-GLCPNAC,4,C3,80.9
A-D-GLCPNAC,4,C4,69.4
A-D-GLCPNAC,4,C5,71.9
A-D-GLCPNAC,4,C6,61.3
B-D-GALP," 4, 3",C1,104.7
B-D-GALP," 4, 3",C2,71.3
B-D-GALP," 4, 3",C3,74
B-D-GALP," 4, 3",C4,77.6
B-D-GALP," 4, 3",C5,75.6
B-D-GALP," 4, 3",C6,62.4
B-D-RIBF," 4, 3, 4",C1,108.3
B-D-RIBF," 4, 3, 4",C2,81.5
B-D-RIBF," 4, 3, 4",C3,72.9
B-D-RIBF," 4, 3, 4",C4,84.2
B-D-RIBF," 4, 3, 4",C5,63.8
