Residual,Connection,Atom,Shift
ERYTHRITOL, ,H11,3.74
ERYTHRITOL, ,H12,3.82
ERYTHRITOL, ,H2,3.84
ERYTHRITOL, ,H3,3.82
ERYTHRITOL, ,H41,4.61
ERYTHRITOL, ,H42,3.73
B-D-MANP,2,H1,4.77
B-D-MANP,2,H2,4.23
B-D-MANP,2,H3,3.69
B-D-MANP,2,H4,3.71
A-D-GALPNAC," 2, 3",H1,5.19
A-D-GALPNAC," 2, 3",H2,4.22
A-D-GALPNAC," 2, 3",H3,4.08
A-D-GALPNAC," 2, 3",H4,4.01
A-D-GALPNAC," 2, 3",H5,4.16
A-D-GALPNAC," 2, 3",H61,3.73
A-D-GALPNAC," 2, 3",H52,3.73
A-D-GALPNAC," 2, 3",Ch3CON,2.08
A-D-FUCPNAC," 2, 3, 4",H1,4.87
A-D-FUCPNAC," 2, 3, 4",H2,4.15
A-D-FUCPNAC," 2, 3, 4",H3,4.02
A-D-FUCPNAC," 2, 3, 4",H4,3.83
A-D-FUCPNAC," 2, 3, 4",H5,4.43
A-D-FUCPNAC," 2, 3, 4",H6,1.17
A-D-FUCPNAC," 2, 3, 4",Ch3CON,2.02
ERYTHRITOL, ,C1,62.8
ERYTHRITOL, ,C2,82.6
ERYTHRITOL, ,C3,72.3
ERYTHRITOL, ,C4,63.7
B-D-MANP,2,C1,101.3
B-D-MANP,2,C2,72.1
B-D-MANP,2,C3,82.5
B-D-MANP,2,C4,67.4
B-D-MANP,2,C5,77.6
B-D-MANP,2,C6,62.4
A-D-GALPNAC," 2, 3",C1,101.2
A-D-GALPNAC," 2, 3",C2,51.5
A-D-GALPNAC," 2, 3",C3,68.5
A-D-GALPNAC," 2, 3",C4,78.8
A-D-GALPNAC," 2, 3",C5,73.8
A-D-GALPNAC," 2, 3",C6,62.3
A-D-GALPNAC," 2, 3",C7,23.3
A-D-GALPNAC," 2, 3",Ch3CON,175.9
A-D-FUCPNAC," 2, 3, 4",C1,99.9
A-D-FUCPNAC," 2, 3, 4",C2,51.3
A-D-FUCPNAC," 2, 3, 4",C3,68.7
A-D-FUCPNAC," 2, 3, 4",C4,72.6
A-D-FUCPNAC," 2, 3, 4",C5,68.8
A-D-FUCPNAC," 2, 3, 4",C6,16.7
A-D-FUCPNAC," 2, 3, 4",Ch3CON,23.3
A-D-FUCPNAC," 2, 3, 4",Ch3CON,175.8
