Residual,Connection,Atom,Shift
A-D-GLCP1OME, ,H1,4.9
A-D-GLCP1OME, ,H2,3.57
A-D-GLCP1OME, ,H3,3.73
A-D-GLCP1OME, ,H4,3.45
A-D-GLCP1OME, ,H5,3.64
A-D-GLCP1OME, ,H6a,3.77
A-D-GLCP1OME, ,H6b,3.89
A-L-RHAP,2,H1,4.96
A-L-RHAP,2,H2,4.07
A-L-RHAP,2,H3,3.78
A-L-RHAP,2,H4,3.47
A-L-RHAP,2,H5,3.77
A-L-RHAP,2,H6,1.32
A-D-GLCP1OME, ,C1,99.9
A-D-GLCP1OME, ,C2,81
A-D-GLCP1OME, ,C3,73.4
A-D-GLCP1OME, ,C4,70.9
A-D-GLCP1OME, ,C5,72.6
A-D-GLCP1OME, ,C6,61.9
A-D-GLCP1OME, ,OMe,56.1
A-L-RHAP,2,C1,103.8
A-L-RHAP,2,C2,71.4
A-L-RHAP,2,C3,71.3
A-L-RHAP,2,C4,73.2
A-L-RHAP,2,C5,70.3
A-L-RHAP,2,C6,17.9
