Residual,Connection,Atom,Shift
B-D-RHAP4NAC, ,H1,4.63
B-D-RHAP4NAC, ,H2,4.02
B-D-RHAP4NAC, ,H3,3.68
B-D-RHAP4NAC, ,H4,3.84
B-D-RHAP4NAC, ,H5,3.47
B-D-RHAP4NAC, ,H6,1.24
A-D-RHAP4NAC,3,H1,4.93
A-D-RHAP4NAC,3,H2,3.93
A-D-RHAP4NAC,3,H3,4.07
A-D-RHAP4NAC,3,H4,3.91
A-D-RHAP4NAC,3,H5,3.91
A-D-RHAP4NAC,3,H6,1.19
A-D-RHAP4NAC," 3, 3",H1,5.13
A-D-RHAP4NAC," 3, 3",H2,4.12
A-D-RHAP4NAC," 3, 3",H3,4.03
A-D-RHAP4NAC," 3, 3",H4,3.88
A-D-RHAP4NAC," 3, 3",H5,3.81
A-D-RHAP4NAC," 3, 3",H6,1.16
B-D-RHAP4NAC, ,C1,98.1
B-D-RHAP4NAC, ,C2,71.3
B-D-RHAP4NAC, ,C3,80.7
B-D-RHAP4NAC, ,C4,53.1
B-D-RHAP4NAC, ,C5,71.9
B-D-RHAP4NAC, ,C6,18
A-D-RHAP4NAC,3,C1,103.3
A-D-RHAP4NAC,3,C2,68.2
A-D-RHAP4NAC,3,C3,75.8
A-D-RHAP4NAC,3,C4,52.3
A-D-RHAP4NAC,3,C5,69.5
A-D-RHAP4NAC,3,C6,18
A-D-RHAP4NAC," 3, 3",C1,101.7
A-D-RHAP4NAC," 3, 3",C2,78.2
A-D-RHAP4NAC," 3, 3",C3,69
A-D-RHAP4NAC," 3, 3",C4,54.3
A-D-RHAP4NAC," 3, 3",C5,69.7
A-D-RHAP4NAC," 3, 3",C6,18
