Residual,Connection,Atom,Shift
B-D-MANP, ,H1,4.96
B-D-MANP, ,H2,4
B-D-MANP, ,H3,3.72
B-D-MANP, ,H4,3.6
B-D-MANP, ,H5,3.4
B-D-MANP, ,H61,3.76
B-D-MANP, ,H62,3.91
A-L-FUCP,2,H1,5.07
A-L-FUCP,2,H2,3.85
A-L-FUCP,2,H3,3.95
A-L-FUCP,2,H4,3.83
A-L-FUCP,2,H5,4.36
A-L-FUCP,2,H6,1.22
B-D-MANP, ,C1,94.84
B-D-MANP, ,C2,81.37
B-D-MANP, ,C3,73.26
B-D-MANP, ,C4,67.77
B-D-MANP, ,C5,77.12
B-D-MANP, ,C6,61.75
A-L-FUCP,2,C1,102.15
A-L-FUCP,2,C2,69.63
A-L-FUCP,2,C3,70.53
A-L-FUCP,2,C4,72.77
A-L-FUCP,2,C5,68.12
A-L-FUCP,2,C6,16.13
