Residual,Connection,Atom,Shift
B-D-GLCPNAC, ,H1,4.78
B-D-GLCPNAC, ,H3,3.78
B-D-GLCPNAC, ,H4,3.81
B-D-GLCPNAC, ,H4,3.55
B-D-GLCPNAC, ,H5,3.5
B-D-GLCPNAC, ,H61,3.77
B-D-GLCPNAC, ,H62,3.92
B-D-GLCPNAC, ,CH3,2.05
B-D-GALP,3,H1,4.42
B-D-GALP,3,H2,3.55
B-D-GALP,3,H3,3.64
B-D-GALP,3,H4,3.93
B-D-GALP,3,H5,3.7
B-D-GALP,3,H61,3.78
B-D-GALP,3,H62,3.78
B-D-GLCPNAC, ,C1,95.6
B-D-GLCPNAC, ,C2,56.79
B-D-GLCPNAC, ,C3,83.57
B-D-GLCPNAC, ,C4,69.78
B-D-GLCPNAC, ,C5,76.37
B-D-GLCPNAC, ,C6,61.84
B-D-GLCPNAC, ,CH3,23.19
B-D-GLCPNAC, ,CO,175.54
B-D-GALP,3,C1,104.3
B-D-GALP,3,C2,71.65
B-D-GALP,3,C3,73.52
B-D-GALP,3,C4,69.45
B-D-GALP,3,C5,76.13
B-D-GALP,3,C6,61.81
