Residual,Connection,Atom,Shift
a-L-Rhap," 2,until",H1,4.87
a-L-Rhap," 2,until",H2,3.9
a-L-Rhap," 2,until",H3,3.71
a-L-Rhap," 2,until",H4,3.25
a-L-Rhap," 2,until",H5,3.59
a-L-Rhap," 2,until",CH3,1.22
b-D-GlcpNAc," 2,2,until",H1,4.59
b-D-GlcpNAc," 2,2,until",H2,3.82
b-D-GlcpNAc," 2,2,until",H3,3.64
b-D-GlcpNAc," 2,2,until",H4,3.47
b-D-GlcpNAc," 2,2,until",H5,3.39
b-D-GlcpNAc," 2,2,until",H61,3.86
b-D-GlcpNAc," 2,2,until",H62,3.71
a-L-FucpNAc," 3,2,2,until",H1,4.95
a-L-FucpNAc," 3,2,2,until",H2,4.3
a-L-FucpNAc," 3,2,2,until",H3,3.87
a-L-FucpNAc," 3,2,2,until",H4,3.84
a-L-FucpNAc," 3,2,2,until",H5,4.35
a-L-FucpNAc," 3,2,2,until",CH3,1.15
a-D-Glcp," 3,3,2,2,until",H1,4.97
a-D-Glcp," 3,3,2,2,until",H2,3.44
a-D-Glcp," 3,3,2,2,until",H3,3.67
a-D-Glcp," 3,3,2,2,until",H4,3.32
a-D-Glcp," 3,3,2,2,until",H5,3.82
a-D-Glcp," 3,3,2,2,until",H61,3.91
a-D-Glcp," 3,3,2,2,until",H62,3.57
a-L-Rhap," 2,until",C1,100.1
a-L-Rhap," 2,until",C2,79.4
a-L-Rhap," 2,until",C3,71
a-L-Rhap," 2,until",C4,73.4
a-L-Rhap," 2,until",C5,69.6
a-L-Rhap," 2,until",C6,17.5
b-D-GlcpNAc," 2,2,until",C1,103.4
b-D-GlcpNAc," 2,2,until",C2,56.6
b-D-GlcpNAc," 2,2,until",C3,79.9
b-D-GlcpNAc," 2,2,until",C4,69.6
b-D-GlcpNAc," 2,2,until",C5,76.68
b-D-GlcpNAc," 2,2,until",C6,61.8
a-L-FucpNAc," 3,2,2,until",C1,98.9
a-L-FucpNAc," 3,2,2,until",C2,49.1
a-L-FucpNAc," 3,2,2,until",C3,77.4
a-L-FucpNAc," 3,2,2,until",C4,72.18
a-L-FucpNAc," 3,2,2,until",C5,67.68
a-L-FucpNAc," 3,2,2,until",C6,16.2
a-D-Glcp," 3,3,2,2,until",C1,101.4
a-D-Glcp," 3,3,2,2,until",C2,72.38
a-D-Glcp," 3,3,2,2,until",C3,73.8
a-D-Glcp," 3,3,2,2,until",C4,70.8
a-D-Glcp," 3,3,2,2,until",C5,72.1
a-D-Glcp," 3,3,2,2,until",C6,67.68
