Residual,Connection,Atom,Shift
b-D-Ribf," 2,until",H1,5.33
b-D-Ribf," 2,until",H2,4.26
b-D-Ribf," 2,until",H3,4.28
b-D-Ribf," 2,until",H4,4.1
a-D-GlcpNAc," 2,2,until",H1,5.17
a-D-GlcpNAc," 2,2,until",H2,4.19
a-D-GlcpNAc," 2,2,until",H3,4.04
a-D-GlcpNAc," 2,2,until",H4,3.65
a-D-GlcpNAc," 2,2,until",H5,3.94
a-D-GlcpNAc," 2,2,until",NAC,2.07
b-D-Galp," 3,2,2,until",H1,4.54
b-D-Galp," 3,2,2,until",H2,3.59
b-D-Galp," 3,2,2,until",H3,3.73
b-D-Galp," 3,2,2,until",H4,4.01
b-D-Galp," 3,2,2,until",H5,3.76
a-D-GlcpNAc," 4,3,2,2,until",H1,4.91
a-D-GlcpNAc," 4,3,2,2,until",H2,3.95
a-D-GlcpNAc," 4,3,2,2,until",H3,3.94
a-D-GlcpNAc," 4,3,2,2,until",H4,3.74
a-D-GlcpNAc," 4,3,2,2,until",H5,4.28
a-D-GlcpNAc," 4,3,2,2,until",NAC,2.08
b-D-Galp," 4,4,3,2,2,until",H1,4.51
b-D-Galp," 4,4,3,2,2,until",H2,3.53
b-D-Galp," 4,4,3,2,2,until",H3,3.78
b-D-Galp," 4,4,3,2,2,until",H4,4.02
b-D-Galp," 4,4,3,2,2,until",H5,3.76
b-D-Ribf," 2,until",C1,107.6
b-D-Ribf," 2,until",C2,80
b-D-Ribf," 2,until",C3,71.6
b-D-Ribf," 2,until",C4,83.9
b-D-Ribf," 2,until",C5,63.5
a-D-GlcpNAc," 2,2,until",C1,96.7
a-D-GlcpNAc," 2,2,until",C2,53.2
a-D-GlcpNAc," 2,2,until",C3,81.4
a-D-GlcpNAc," 2,2,until",C4,69.6
a-D-GlcpNAc," 2,2,until",C5,73
b-D-Galp," 3,2,2,until",C1,104.4
b-D-Galp," 3,2,2,until",C2,71.7
b-D-Galp," 3,2,2,until",C3,73.1
b-D-Galp," 3,2,2,until",C4,77.4
b-D-Galp," 3,2,2,until",C5,76.5
a-D-GlcpNAc," 4,3,2,2,until",C1,98.7
a-D-GlcpNAc," 4,3,2,2,until",C2,54.5
a-D-GlcpNAc," 4,3,2,2,until",C3,70
a-D-GlcpNAc," 4,3,2,2,until",C4,80
a-D-GlcpNAc," 4,3,2,2,until",C5,71.1
b-D-Galp," 4,4,3,2,2,until",C1,103.8
b-D-Galp," 4,4,3,2,2,until",C2,72
b-D-Galp," 4,4,3,2,2,until",C3,73.8
b-D-Galp," 4,4,3,2,2,until",C4,76.7
b-D-Galp," 4,4,3,2,2,until",C5,75.6
