Residual,Connection,Atom,Shift
A-D-GLCP1OME, ,H1,5.03
A-D-GLCP1OME, ,H2,3.67
A-D-GLCP1OME, ,H3,3.81
A-D-GLCP1OME, ,H4,3.45
A-D-GLCP1OME, ,H5,3.65
A-D-GLCP1OME, ,H6a,3.76
A-D-GLCP1OME, ,H6b,3.88
B-D-GALP,2,H1,4.54
B-D-GALP,2,H2,3.57
B-D-GALP,2,H3,3.66
B-D-GALP,2,H4,3.93
B-D-GALP,2,H5,3.7
B-D-GALP,2,H6a,3.76
B-D-GALP,2,H6b,3.76
A-D-GLCP1OME, ,C1,100.3
A-D-GLCP1OME, ,C2,81.5
A-D-GLCP1OME, ,C3,73.5
A-D-GLCP1OME, ,C4,71
A-D-GLCP1OME, ,C5,72.7
A-D-GLCP1OME, ,C6,62
A-D-GLCP1OME, ,OMe,56.1
B-D-GALP,2,C1,105.6
B-D-GALP,2,C2,72.4
B-D-GALP,2,C3,74.1
B-D-GALP,2,C4,70
B-D-GALP,2,C5,76.3
B-D-GALP,2,C6,62.2
