Residual,Connection,Atom,Shift
b-D-GlcpNAc, ,H1,4.58
b-D-GlcpNAc, ,H2,3.75
b-D-GlcpNAc, ,H3,3.57
b-D-GlcpNAc, ,H4,3.48
b-D-GlcpNAc, ,H5,3.61
b-D-GlcpNAc, ,H6,4.24
b-D-GlcpNAc, ,H6,3.69
b-D-GlcpNAc,6,H1,4.58
b-D-GlcpNAc,6,H2,3.78
b-D-GlcpNAc,6,H3,3.57
b-D-GlcpNAc,6,H4,3.43
b-D-GlcpNAc,6,H5,3.61
b-D-GlcpNAc,6,H6,3.67
a-D-Kdop," 6,6",H31,1.97
a-D-Kdop," 6,6",H32,2.06
a-D-Kdop," 6,6",H4,4.18
a-D-Kdop," 6,6",H5,4.12
a-D-Kdop," 6,6",H6,3.67
a-D-Kdop," 6,6",H7,3.97
a-D-Kdop," 6,6",H81,3.94
a-D-Kdop," 6,6",H82,3.77
a-D-Kdop," 4,6,6",H31,1.8
a-D-Kdop," 4,6,6",H32,2.19
a-D-Kdop," 4,6,6",H4,4.12
a-D-Kdop," 4,6,6",H5,4.08
a-D-Kdop," 4,6,6",H6,3.65
a-D-Kdop," 4,6,6",H7,4.04
a-D-Kdop," 4,6,6",H8,3.81
Allyl, ,C1,71.2
Allyl, ,C2,134.3
Allyl, ,C3,119.3
b-D-GlcpNAc,1,C1,101
b-D-GlcpNAc,1,C2,56.5
b-D-GlcpNAc,1,C3,75.1
b-D-GlcpNAc,1,C4,71.1
b-D-GlcpNAc,1,C5,75.8
b-D-GlcpNAc,1,C6,70.1
b-D-GlcpNAc,1,CO,175.6
b-D-GlcpNAc,1,CH3,23.2
b-D-GlcpNAc," 6,1",C1,102.5
b-D-GlcpNAc," 6,1",C2,56.6
b-D-GlcpNAc," 6,1",C3,75
b-D-GlcpNAc," 6,1",C4,71.6
b-D-GlcpNAc," 6,1",C5,75.5
b-D-GlcpNAc," 6,1",C6,63.2
b-D-GlcpNAc," 6,1",CO,175.3
b-D-GlcpNAc," 6,1",CH3,23.4
a-D-Kdop," 6,6,1",C1,175.7
a-D-Kdop," 6,6,1",C2,100.9
a-D-Kdop," 6,6,1",C3,34.3
a-D-Kdop," 6,6,1",C4,69.5
a-D-Kdop," 6,6,1",C5,65.5
a-D-Kdop," 6,6,1",C6,72.6
a-D-Kdop," 6,6,1",C7,70.8
a-D-Kdop," 6,6,1",C8,64.4
a-D-Kdop," 4,6,6,1",C1,176.7
a-D-Kdop," 4,6,6,1",C2,100.4
a-D-Kdop," 4,6,6,1",C3,35.5
a-D-Kdop," 4,6,6,1",C4,67
a-D-Kdop," 4,6,6,1",C5,67.3
a-D-Kdop," 4,6,6,1",C6,73.6
a-D-Kdop," 4,6,6,1",C7,70.9
a-D-Kdop," 4,6,6,1",C8,64.5
