Residual,Connection,Atom,Shift
GROAL, ,H1,5.12
GROAL, ,H2,3.64
GROAL, ,H31,3.74
GROAL, ,H32,3.86
A-L-RHAP,2,H1,4.97
A-L-RHAP,2,H2,4.1
A-L-RHAP,2,H3,3.88
A-L-RHAP,2,H4,3.55
A-L-RHAP,2,H5,3.97
A-L-RHAP,2,H6,1.28
A-L-RHAP," 2, 3",H1,5.05
A-L-RHAP," 2, 3",H2,4.07
A-L-RHAP," 2, 3",H3,3.84
A-L-RHAP," 2, 3",H4,3.46
A-L-RHAP," 2, 3",H5,3.84
A-L-RHAP," 2, 3",H6,1.29
GROAL, ,C1,90.6
GROAL, ,C2,81.3
GROAL, ,C3,61
A-L-RHAP,2,C1,100.8
A-L-RHAP,2,C2,71.6
A-L-RHAP,2,C3,79.8
A-L-RHAP,2,C4,72.7
A-L-RHAP,2,C5,70.5
A-L-RHAP,2,C6,18
A-L-RHAP," 2, 3",C1,103.7
A-L-RHAP," 2, 3",C2,71.6
A-L-RHAP," 2, 3",C3,71.6
A-L-RHAP," 2, 3",C4,73.5
A-L-RHAP," 2, 3",C5,70.5
A-L-RHAP," 2, 3",C6,18
