Residual,Connection,Atom,Shift
B-D-GLCP, ,H1,4.63
B-D-GLCP, ,H2,3.26
B-D-GLCP, ,H3,3.57
B-D-GLCP, ,H4,3.51
B-D-GLCP, ,H5,3.56
B-D-GLCP, ,H61,3.61
B-D-GLCP, ,H62,3.81
A-L-FUCPNAC,4,H1,4.85
A-L-FUCPNAC,4,H2,4.84
A-L-FUCPNAC,4,H3,4.37
A-L-FUCPNAC,4,H4,4.05
A-L-FUCPNAC,4,H5,3.93
A-L-FUCPNAC,4,H61,4.45
A-L-FUCPNAC,4,H62,1.2
A-L-FUCPNAC,4,NAc,1.99
A-D-GLCPNAC," 4, 3",H1,5.02
A-D-GLCPNAC," 4, 3",H2,4.08
A-D-GLCPNAC," 4, 3",H3,3.88
A-D-GLCPNAC," 4, 3",H4,3.56
A-D-GLCPNAC," 4, 3",H5,3.78
A-D-GLCPNAC," 4, 3",H61,3.8
A-D-GLCPNAC," 4, 3",H62,3.88
A-D-GLCPNAC," 4, 3",NAc,1.96
A-L-FUCPNAC," 4, 3, 3",H1,5
A-L-FUCPNAC," 4, 3, 3",H2,4.31
A-L-FUCPNAC," 4, 3, 3",H3,3.95
A-L-FUCPNAC," 4, 3, 3",H4,3.94
A-L-FUCPNAC," 4, 3, 3",H5,4.44
A-L-FUCPNAC," 4, 3, 3",H6,1.18
A-L-FUCPNAC," 4, 3, 3",NAc,2.01
A-D-GLCP," 4, 3, 3, 3",H1,5.03
A-D-GLCP," 4, 3, 3, 3",H2,3.48
A-D-GLCP," 4, 3, 3, 3",H3,3.74
A-D-GLCP," 4, 3, 3, 3",H4,3.39
A-D-GLCP," 4, 3, 3, 3",H5,3.77
A-D-GLCP," 4, 3, 3, 3",H61,3.75
A-D-GLCP," 4, 3, 3, 3",H62,3.85
B-D-GLCP, ,C1,96.5
B-D-GLCP, ,C2,75.3
B-D-GLCP, ,C3,75.3
B-D-GLCP, ,C4,77.2
B-D-GLCP, ,C5,76.1
B-D-GLCP, ,C6,60.9
A-L-FUCPNAC,4,C1,98.6
A-L-FUCPNAC,4,C2,49.8
A-L-FUCPNAC,4,C3,72.9
A-L-FUCPNAC,4,C4,71.8
A-L-FUCPNAC,4,C5,67.8
A-L-FUCPNAC,4,C6,16
A-L-FUCPNAC,4,NAc,22.7
A-L-FUCPNAC,4,CO,174.3
A-D-GLCPNAC," 4, 3",C1,98.6
A-D-GLCPNAC," 4, 3",C2,54.3
A-D-GLCPNAC," 4, 3",C3,76.6
A-D-GLCPNAC," 4, 3",C4,69.1
A-D-GLCPNAC," 4, 3",C5,73.1
A-D-GLCPNAC," 4, 3",C6,61.3
A-D-GLCPNAC," 4, 3",NAc,22.9
A-D-GLCPNAC," 4, 3",CO,174.1
A-L-FUCPNAC," 4, 3, 3",C1,98.4
A-L-FUCPNAC," 4, 3, 3",C2,49.1
A-L-FUCPNAC," 4, 3, 3",C3,76.9
A-L-FUCPNAC," 4, 3, 3",C4,72
A-L-FUCPNAC," 4, 3, 3",C5,67.6
A-L-FUCPNAC," 4, 3, 3",C6,16
A-L-FUCPNAC," 4, 3, 3",C23,23.1
A-L-FUCPNAC," 4, 3, 3",C24,175.2
A-D-GLCP," 4, 3, 3, 3",C1,101.6
A-D-GLCP," 4, 3, 3, 3",C2,72.3
A-D-GLCP," 4, 3, 3, 3",C3,73.5
A-D-GLCP," 4, 3, 3, 3",C4,70.4
A-D-GLCP," 4, 3, 3, 3",C5,73.1
A-D-GLCP," 4, 3, 3, 3",C6,61.4
