Residual,Connection,Atom,Shift
B-D-GALP, ,H1,4.66
B-D-GALP, ,H2,3.56
B-D-GALP, ,H3,3.83
B-D-GALP, ,H4,3.94
B-D-GALP, ,H5,3.69
B-D-GALP, ,H6 a,3.76
B-D-GALP, ,H6 b,3.76
A-L-FUCP,2,H1,5.2
A-L-FUCP,2,H2,3.81
A-L-FUCP,2,H3,3.88
A-L-FUCP,2,H4,3.82
A-L-FUCP,2,H5,4.3
A-L-FUCP,2,H6,1.2
B-D-GALP, ,C1,96.21
B-D-GALP, ,C2,80.38
B-D-GALP, ,C3,74.29
B-D-GALP, ,C4,69.78
B-D-GALP, ,C5,75.84
B-D-GALP, ,C6,61.81
A-L-FUCP,2,C1,100.74
A-L-FUCP,2,C2,69.46
A-L-FUCP,2,C3,70.63
A-L-FUCP,2,C4,72.84
A-L-FUCP,2,C5,67.73
A-L-FUCP,2,C6,16.03
