Residual,Connection,Atom,Shift
a-D-GlcpNAc," 4,until",H1,4.88
a-D-GlcpNAc," 4,until",H2,3.64
a-D-GlcpNAc," 4,until",H3,3.82
a-D-GlcpNAc," 4,until",H4,4.03
a-D-GlcpNAc," 4,until",H5,4.67
a-D-GlcpNAc," 4,until",NH,8.01
a-D-GlcpNAc," 4,until",NAC,1.99
a-L-IdopA," 4,4,until",H1,5.13
a-L-IdopA," 4,4,until",H2,3.92
a-L-IdopA," 4,4,until",H3,3.72
a-L-IdopA," 4,4,until",H4,3.68
a-L-IdopA," 4,4,until",H5,3.84
a-L-IdopA," 4,4,until",H6PS,3.84
a-L-IdopA," 4,4,until",H6PR,3.78
a-D-GlcpNAc," 4,until",C1,102.5
a-D-GlcpNAc," 4,until",C2,70.9
a-D-GlcpNAc," 4,until",C3,70.6
a-D-GlcpNAc," 4,until",C4,75.8
a-D-GlcpNAc," 4,until",C5,70.9
a-D-GlcpNAc," 4,until",C6,175.1
a-D-GlcpNAc," 4,until",CO,175.1
a-D-GlcpNAc," 4,until",CH3,22.8
a-L-IdopA," 4,4,until",C1,95.5
a-L-IdopA," 4,4,until",C2,54.6
a-L-IdopA," 4,4,until",C3,70.6
a-L-IdopA," 4,4,until",C4,78.2
a-L-IdopA," 4,4,until",C5,72
a-L-IdopA," 4,4,until",C6,60.9
