Residual,Connection,Atom,Shift
B-D-GLCP1OME, ,H1,4.45
B-D-GLCP1OME, ,H2,3.42
B-D-GLCP1OME, ,H3,3.56
B-D-GLCP1OME, ,H4,3.42
B-D-GLCP1OME, ,H5,3.42
B-D-GLCP1OME, ,H61,3.73
B-D-GLCP1OME, ,H62,3.92
A-D-MANP,2,H1,5.19
A-D-MANP,2,H2,3.98
A-D-MANP,2,H3,3.85
A-D-MANP,2,H4,3.72
A-D-MANP,2,H5,3.94
A-D-MANP,2,H61,3.78
A-D-MANP,2,H62,3.86
B-D-GLCP1OME, ,C1,105.1
B-D-GLCP1OME, ,C2,79.6
B-D-GLCP1OME, ,C3,76
B-D-GLCP1OME, ,C4,71.4
B-D-GLCP1OME, ,C5,77.2
B-D-GLCP1OME, ,C6,62.4
B-D-GLCP1OME, ,OMe,58.6
A-D-MANP,2,C1,101.2
A-D-MANP,2,C2,71.7
A-D-MANP,2,C3,71.9
A-D-MANP,2,C4,68.2
A-D-MANP,2,C5,74.3
A-D-MANP,2,C6,62.4
