Residual,Connection,Atom,Shift
B-D-GALP1OME, ,H1,4.42
B-D-GALP1OME, ,H2,3.53
B-D-GALP1OME, ,H3,3.84
B-D-GALP1OME, ,H4,3.92
B-D-GALP1OME, ,H6,3.755
A-L-FUCP,2,H1,5.13
A-L-FUCP,2,H2,3.78
A-L-FUCP,2,H3,3.88
A-L-FUCP,2,H4,3.81
A-L-FUCP,2,H5,4.26
A-L-FUCP,2,H6,1.21
B-D-GALP1OME, ,C1,104.1
B-D-GALP1OME, ,C2,79.6
B-D-GALP1OME, ,C3,74.7
B-D-GALP1OME, ,C4,70.1
B-D-GALP1OME, ,C5,76.2
B-D-GALP1OME, ,C6,62.3
B-D-GALP1OME, ,OMe,58.3
A-L-FUCP,2,C1,101.4
A-L-FUCP,2,C2,69.9
A-L-FUCP,2,C3,71.1
A-L-FUCP,2,C4,73.3
A-L-FUCP,2,C5,68.1
A-L-FUCP,2,C6,16.4
