Residual,Connection,Atom,Shift
a-D-GlcpNAc, ,H1,4.92
a-D-GlcpNAc, ,H2,3.93
a-D-GlcpNAc, ,H3,3.77
a-D-GlcpNAc, ,H4,3.47
a-D-GlcpNAc, ,H5,3.87
a-D-GlcpNAc, ,H61,4.18
a-D-GlcpNAc, ,H62,3.71
b-D-GlcpNAc,6,H1,4.55
b-D-GlcpNAc,6,H2,3.78
b-D-GlcpNAc,6,H3,3.57
b-D-GlcpNAc,6,H4,3.45
b-D-GlcpNAc,6,H5,3.63
b-D-GlcpNAc,6,H61,3.69
b-D-GlcpNAc,6,H62,3.64
a-D-Kdop," 6,6",H31,1.84
a-D-Kdop," 6,6",H32,2.11
a-D-Kdop," 6,6",H4,4.11
a-D-Kdop," 6,6",H5,4.06
a-D-Kdop," 6,6",H6,3.71
a-D-Kdop," 6,6",H7,3.99
a-D-Kdop," 6,6",H81,3.98
a-D-Kdop," 6,6",H82,3.73
Allyl, ,C1,69.4
Allyl, ,C2,134.7
Allyl, ,C3,119.2
a-D-GlcpNAc,1,C1,97.1
a-D-GlcpNAc,1,C2,54.7
a-D-GlcpNAc,1,C3,72.3
a-D-GlcpNAc,1,C4,71.4
a-D-GlcpNAc,1,C5,71.9
a-D-GlcpNAc,1,C6,69.8
a-D-GlcpNAc,1,CO,175.5
a-D-GlcpNAc,1,CH3,23
b-D-GlcpNAc," 6,1",C1,102.7
b-D-GlcpNAc," 6,1",C2,56.6
b-D-GlcpNAc," 6,1",C3,75
b-D-GlcpNAc," 6,1",C4,71.9
b-D-GlcpNAc," 6,1",C5,75.3
b-D-GlcpNAc," 6,1",C6,63.4
b-D-GlcpNAc," 6,1",CO,175.5
b-D-GlcpNAc," 6,1",CH3,23.4
a-D-Kdop," 6,6,1",C1,176
a-D-Kdop," 6,6,1",C2,101
a-D-Kdop," 6,6,1",C3,35.2
a-D-Kdop," 6,6,1",C4,67.2
a-D-Kdop," 6,6,1",C5,67.5
a-D-Kdop," 6,6,1",C6,72.7
a-D-Kdop," 6,6,1",C7,70.7
a-D-Kdop," 6,6,1",C8,64.5
