Residual,Connection,Atom,Shift
b-D-ManpNAc," 3,until",H1,4.93
b-D-ManpNAc," 3,until",H2,4.75
b-D-ManpNAc," 3,until",H3,4.01
b-D-ManpNAc," 3,until",H4,3.47
b-D-ManpNAc," 3,until",H5,3.35
b-D-ManpNAc," 3,until",H61,3.88
b-D-ManpNAc," 3,until",H62,3.8
b-D-ManpNAc," 3,until",NAC,2.1
b-D-Manp," 3,3,until",H1,4.83
b-D-Manp," 3,3,until",H2,3.91
b-D-Manp," 3,3,until",H3,3.77
b-D-Manp," 3,3,until",H4,3.7
b-D-Manp," 3,3,until",H5,3.43
b-D-Manp," 3,3,until",H61,3.97
b-D-Manp," 3,3,until",H62,3.78
a-D-GlcpNAc," 2,3,3,until",H1,5.17
a-D-GlcpNAc," 2,3,3,until",H2,4.03
a-D-GlcpNAc," 2,3,3,until",H3,4.07
a-D-GlcpNAc," 2,3,3,until",H4,3.67
a-D-GlcpNAc," 2,3,3,until",H5,4.1
a-D-GlcpNAc," 2,3,3,until",H61,3.92
a-D-GlcpNAc," 2,3,3,until",H62,3.73
a-D-GlcpNAc," 2,3,3,until",NAC,2.04
b-D-Glcp," 3,2,3,3,until",H1,4.57
b-D-Glcp," 3,2,3,3,until",H2,3.32
b-D-Glcp," 3,2,3,3,until",H3,3.65
b-D-Glcp," 3,2,3,3,until",H4,3.63
b-D-Glcp," 3,2,3,3,until",H5,3.57
b-D-Glcp," 3,2,3,3,until",H61,3.9
b-D-Glcp," 3,2,3,3,until",H62,3.77
a-D-Manp," 4,3,2,3,3,until",H1,5.25
a-D-Manp," 4,3,2,3,3,until",H2,4.13
a-D-Manp," 4,3,2,3,3,until",H3,3.88
a-D-Manp," 4,3,2,3,3,until",H4,3.86
a-D-Manp," 4,3,2,3,3,until",H5,3.74
a-D-GalpA," 3,4,3,2,3,3,until",H1,5.29
a-D-GalpA," 3,4,3,2,3,3,until",H2,3.83
a-D-GalpA," 3,4,3,2,3,3,until",H3,4.09
a-D-GalpA," 3,4,3,2,3,3,until",H4,4.55
a-D-GalpA," 3,4,3,2,3,3,until",H5,4.72
b-D-ManpNAc," 3,until",C1,100.34
b-D-ManpNAc," 3,until",C2,50.57
b-D-ManpNAc," 3,until",C3,77.93
b-D-ManpNAc," 3,until",C4,65.76
b-D-ManpNAc," 3,until",C5,77.08
b-D-ManpNAc," 3,until",CO,175.8
b-D-ManpNAc," 3,until",CH3,22.94
b-D-Manp," 3,3,until",C1,97.13
b-D-Manp," 3,3,until",C2,77.08
b-D-Manp," 3,3,until",C3,74.33
b-D-Manp," 3,3,until",C4,68.09
b-D-Manp," 3,3,until",C5,77.61
b-D-Manp," 3,3,until",C6,61.82
a-D-GlcpNAc," 2,3,3,until",C1,99.02
a-D-GlcpNAc," 2,3,3,until",C2,53.7
a-D-GlcpNAc," 2,3,3,until",C3,81.2
a-D-GlcpNAc," 2,3,3,until",C4,68.78
a-D-GlcpNAc," 2,3,3,until",C5,71.71
a-D-GlcpNAc," 2,3,3,until",C6,60.82
a-D-GlcpNAc," 2,3,3,until",CO,175.29
a-D-GlcpNAc," 2,3,3,until",CH3,22.94
b-D-Glcp," 3,2,3,3,until",C1,103.44
b-D-Glcp," 3,2,3,3,until",C2,74
b-D-Glcp," 3,2,3,3,until",C3,76.82
b-D-Glcp," 3,2,3,3,until",C4,77.08
b-D-Glcp," 3,2,3,3,until",C5,75.41
a-D-Manp," 4,3,2,3,3,until",C1,101.96
a-D-Manp," 4,3,2,3,3,until",C2,70.92
a-D-Manp," 4,3,2,3,3,until",C3,79.9
a-D-Manp," 4,3,2,3,3,until",C4,66.52
a-D-Manp," 4,3,2,3,3,until",C5,74.55
a-D-GalpA," 3,4,3,2,3,3,until",C1,101.46
a-D-GalpA," 3,4,3,2,3,3,until",C2,69.14
a-D-GalpA," 3,4,3,2,3,3,until",C3,70.16
a-D-GalpA," 3,4,3,2,3,3,until",C4,78.68
a-D-GalpA," 3,4,3,2,3,3,until",C5,71.34
a-D-GalpA," 3,4,3,2,3,3,until",C6,173.27
