Residual,Connection,Atom,Shift
B-D-FRUF, ,H1,3.76
B-D-FRUF, ,H1,3.69
B-D-FRUF, ,H3,4.18
B-D-FRUF, ,H4,4.09
B-D-FRUF, ,H5,3.87
B-D-FRUF, ,H61,3.88
B-D-FRUF, ,H62,3.83
B-D-FRUF,2,H1,3.88
B-D-FRUF,2,H1,3.8
B-D-FRUF,2,H3,4.3
B-D-FRUF,2,H4,4.09
B-D-FRUF,2,H5,3.81
B-D-FRUF,2,H61,3.84
B-D-FRUF,2,H62,3.77
A-D-GLCP," 2, 2",H1,5.71
A-D-GLCP," 2, 2",H2,3.66
A-D-GLCP," 2, 2",H3,3.85
A-D-GLCP," 2, 2",H4,3.5
A-D-GLCP," 2, 2",H5,3.94
A-D-GLCP," 2, 2",H61,3.83
A-D-GLCP," 2, 2",H62,3.78
A-D-GLCP," 2, 2, 2",H1,5.13
A-D-GLCP," 2, 2, 2",H2,3.57
A-D-GLCP," 2, 2, 2",H3,3.76
A-D-GLCP," 2, 2, 2",H4,3.44
A-D-GLCP," 2, 2, 2",H5,3.91
A-D-GLCP," 2, 2, 2",H61,3.84
A-D-GLCP," 2, 2, 2",H62,3.77
B-D-FRUF, ,C1,62.01
B-D-FRUF, ,C2,104.53
B-D-FRUF, ,C3,77.54
B-D-FRUF, ,C4,74.54
B-D-FRUF, ,C5,81.77
B-D-FRUF, ,C6,62.73
B-D-FRUF,2,C1,61.11
B-D-FRUF,2,C2,104.5
B-D-FRUF,2,C3,77.58
B-D-FRUF,2,C4,75.33
B-D-FRUF,2,C5,81.99
B-D-FRUF,2,C6,63.29
A-D-GLCP," 2, 2",C1,90.57
A-D-GLCP," 2, 2",C2,75.85
A-D-GLCP," 2, 2",C3,72.01
A-D-GLCP," 2, 2",C4,70.06
A-D-GLCP," 2, 2",C5,73.04
A-D-GLCP," 2, 2",C6,61.07
A-D-GLCP," 2, 2, 2",C1,96.77
A-D-GLCP," 2, 2, 2",C2,72.13
A-D-GLCP," 2, 2, 2",C3,73.73
A-D-GLCP," 2, 2, 2",C4,70.19
A-D-GLCP," 2, 2, 2",C5,72.65
A-D-GLCP," 2, 2, 2",C6,3.84
