Residual,Connection,Atom,Shift
A-D-GLCP1OME, ,H1,4.94
A-D-GLCP1OME, ,H2,3.55
A-D-GLCP1OME, ,H3,3.79
A-D-GLCP1OME, ,H4,3.47
A-D-GLCP1OME, ,H5,3.64
A-D-GLCP1OME, ,H61,3.77
A-D-GLCP1OME, ,H62,3.9
A-L-FUCP,2,H1,5.08
A-L-FUCP,2,H2,3.79
A-L-FUCP,2,H3,3.9
A-L-FUCP,2,H4,3.84
A-L-FUCP,2,H5,4.1
A-L-FUCP,2,H6,1.26
A-D-GLCP1OME, ,C1,100
A-D-GLCP1OME, ,C2,81.7
A-D-GLCP1OME, ,C3,73.3
A-D-GLCP1OME, ,C4,70.8
A-D-GLCP1OME, ,C5,72.6
A-D-GLCP1OME, ,C6,61.9
A-D-GLCP1OME, ,OMe,56
A-L-FUCP,2,C1,102.6
A-L-FUCP,2,C2,69.6
A-L-FUCP,2,C3,70.8
A-L-FUCP,2,C4,73
A-L-FUCP,2,C5,68.4
A-L-FUCP,2,C6,16.7
