Residual,Connection,Atom,Shift
A-D-GLCP, ,H1,5.22
A-D-GLCP, ,H2,3.58
A-D-GLCP, ,H3,3.74
A-D-GLCP, ,H4,3.74
A-D-GLCP, ,H5,3.96
A-D-GLCP, ,H61,3.88
A-D-GLCP, ,H62,3.95
B-D-GLCP,4,H1,4.53
B-D-GLCP,4,H2,3.28
B-D-GLCP,4,H3,3.51
B-D-GLCP,4,H4,3.29
B-D-GLCP,4,H5,3.5
B-D-GLCP,4,H61,3.67
B-D-GLCP,4,H62,3.95
A-D-GLCP, ,C1,93.1
A-D-GLCP, ,C2,73.1
A-D-GLCP, ,C3,79.6
A-D-GLCP, ,C4,76
A-D-GLCP, ,C5,72
A-D-GLCP, ,C6,60.6
B-D-GLCP,4,C1,103
B-D-GLCP,4,C2,74.5
B-D-GLCP,4,C3,76.5
B-D-GLCP,4,C4,70.9
B-D-GLCP,4,C5,77.7
B-D-GLCP,4,C6,62.2
