Residual,Connection,Atom,Shift
A-D-GALPNAC, ,H1,5.83
A-D-GALPNAC, ,H2,4.581
A-D-GALPNAC, ,H3,4.303
A-D-GALPNAC, ,H4,4.315
A-D-GALPNAC, ,H5,4.022
A-D-GALPNAC, ,H61,3.791
A-D-GALPNAC, ,H62,3.755
A-D-GALPNAC, ,CH3,2.013
B-D-GALP,3,H1,4.547
B-D-GALP,3,H2,3.559
B-D-GALP,3,H3,3.657
B-D-GALP,3,H4,3.932
B-D-GALP,3,H5,3.691
B-D-GALP,3,H61,3.74
B-D-GALP,3,H62,3.69
A-D-GALPNAC, ,C1,95.61
A-D-GALPNAC, ,C2,47.99
A-D-GALPNAC, ,C3,76.5
A-D-GALPNAC, ,C4,68.36
A-D-GALPNAC, ,C5,71.77
A-D-GALPNAC, ,C6,60.82
A-D-GALPNAC, ,C-O,174.51
A-D-GALPNAC, ,CH3,21.7
B-D-GALP,3,C1,104.59
B-D-GALP,3,C2,70.4
B-D-GALP,3,C3,72.3
B-D-GALP,3,C4,68.36
B-D-GALP,3,C5,74.86
B-D-GALP,3,C6,60.73
