Residual,Connection,Atom,Shift
B-D-GLCP1OME, ,H1,4.52
B-D-GLCP1OME, ,H2,3.45
B-D-GLCP1OME, ,H3,3.59
B-D-GLCP1OME, ,H4,3.41
B-D-GLCP1OME, ,H5,3.44
B-D-GLCP1OME, ,H61,3.72
B-D-GLCP1OME, ,H62,3.93
B-L-FUCP,2,H1,4.6
B-L-FUCP,2,H2,3.48
B-L-FUCP,2,H3,3.65
B-L-FUCP,2,H4,3.74
B-L-FUCP,2,H5,3.76
B-L-FUCP,2,H6,1.25
B-D-GLCP1OME, ,C1,104.4
B-D-GLCP1OME, ,C2,81.3
B-D-GLCP1OME, ,C3,75.7
B-D-GLCP1OME, ,C4,71
B-D-GLCP1OME, ,C5,77
B-D-GLCP1OME, ,C6,62.2
B-D-GLCP1OME, ,OMe,58.5
B-L-FUCP,2,C1,103.5
B-L-FUCP,2,C2,72.2
B-L-FUCP,2,C3,74.2
B-L-FUCP,2,C4,72.7
B-L-FUCP,2,C5,72.1
B-L-FUCP,2,C6,16.6
