Residual,Connection,Atom,Shift
B-D-FRUF, ,H11,3.74
B-D-FRUF, ,H12,3.68
B-D-FRUF, ,H3,4.18
B-D-FRUF, ,H4,4.09
B-D-FRUF, ,H5,3.84
B-D-FRUF, ,H61,3.83
B-D-FRUF, ,H62,3.75
B-D-FRUF,2,H11,3.85
B-D-FRUF,2,H12,3.75
B-D-FRUF,2,H3,4.26
B-D-FRUF,2,H4,4.11
B-D-FRUF,2,H5,3.81
B-D-FRUF,2,H61,3.85
B-D-FRUF,2,H62,3.75
B-D-FRUF," 2, 2",H11,3.95
B-D-FRUF," 2, 2",H12,3.84
B-D-FRUF," 2, 2",H3,4.31
B-D-FRUF," 2, 2",H4,4.04
B-D-FRUF," 2, 2",H5,3.82
B-D-FRUF," 2, 2",H61,3.81
B-D-FRUF," 2, 2",H62,3.77
A-D-GLCP," 2, 2, 2",H1,5.69
A-D-GLCP," 2, 2, 2",H2,3.62
A-D-GLCP," 2, 2, 2",H3,3.88
A-D-GLCP," 2, 2, 2",H4,3.48
A-D-GLCP," 2, 2, 2",H5,3.94
A-D-GLCP," 2, 2, 2",H6,3.79
A-D-GLCP," 2, 2, 2, 2",H1,5.36
A-D-GLCP," 2, 2, 2, 2",H2,3.67
A-D-GLCP," 2, 2, 2, 2",H3,3.87
A-D-GLCP," 2, 2, 2, 2",H4,3.48
A-D-GLCP," 2, 2, 2, 2",H5,3.79
A-D-GLCP," 2, 2, 2, 2",H61,3.86
A-D-GLCP," 2, 2, 2, 2",H62,3.75
A-D-GLCP," 2, 2, 2, 2, 2",H1,5.1
A-D-GLCP," 2, 2, 2, 2, 2",H2,3.57
A-D-GLCP," 2, 2, 2, 2, 2",H3,3.81
A-D-GLCP," 2, 2, 2, 2, 2",H4,3.44
A-D-GLCP," 2, 2, 2, 2, 2",H5,3.92
A-D-GLCP," 2, 2, 2, 2, 2",H61,3.84
A-D-GLCP," 2, 2, 2, 2, 2",H62,3.79
B-D-FRUF, ,C1,61.47
B-D-FRUF, ,C2,104.54
B-D-FRUF, ,C3,77.53
B-D-FRUF, ,C4,75.12
B-D-FRUF, ,C5,81.79
B-D-FRUF, ,C6,62.92
B-D-FRUF,2,C1,62.5
B-D-FRUF,2,C2,104.2
B-D-FRUF,2,C3,78.05
B-D-FRUF,2,C4,74.85
B-D-FRUF,2,C5,81.56
B-D-FRUF,2,C6,62.38
B-D-FRUF," 2, 2",C1,61.47
B-D-FRUF," 2, 2",C2,104.54
B-D-FRUF," 2, 2",C3,77.53
B-D-FRUF," 2, 2",C4,75.12
B-D-FRUF," 2, 2",C5,81.79
B-D-FRUF," 2, 2",C6,62.92
A-D-GLCP," 2, 2, 2",C1,91.52
A-D-GLCP," 2, 2, 2",C2,78.39
A-D-GLCP," 2, 2, 2",C3,72.52
A-D-GLCP," 2, 2, 2",C4,69.96
A-D-GLCP," 2, 2, 2",C5,73
A-D-GLCP," 2, 2, 2",C6,61.01
A-D-GLCP," 2, 2, 2, 2",C1,95.72
A-D-GLCP," 2, 2, 2, 2",C2,76.39
A-D-GLCP," 2, 2, 2, 2",C3,72.18
A-D-GLCP," 2, 2, 2, 2",C4,70.13
A-D-GLCP," 2, 2, 2, 2",C5,73.33
A-D-GLCP," 2, 2, 2, 2",C6,61.24
A-D-GLCP," 2, 2, 2, 2, 2",C1,97.05
A-D-GLCP," 2, 2, 2, 2, 2",C2,72.08
A-D-GLCP," 2, 2, 2, 2, 2",C3,73.43
A-D-GLCP," 2, 2, 2, 2, 2",C4,70.22
A-D-GLCP," 2, 2, 2, 2, 2",C5,72.65
A-D-GLCP," 2, 2, 2, 2, 2",C6,61.19
