Residual,Connection,Atom,Shift
B-D-GLCP1OME, ,H1,4.47
B-D-GLCP1OME, ,H2,3.32
B-D-GLCP1OME, ,H3,3.68
B-D-GLCP1OME, ,H4,3.38
B-D-GLCP1OME, ,H5,3.45
B-D-GLCP1OME, ,H61,3.72
B-D-GLCP1OME, ,H62,3.93
A-L-FUCP,2,H1,5.15
A-L-FUCP,2,H2,3.78
A-L-FUCP,2,H3,3.87
A-L-FUCP,2,H4,3.81
A-L-FUCP,2,H5,4.26
A-L-FUCP,2,H61,1.2
B-D-GLCP1OME, ,C1,103.7
B-D-GLCP1OME, ,C2,81.4
B-D-GLCP1OME, ,C3,77.7
B-D-GLCP1OME, ,C4,71.1
B-D-GLCP1OME, ,C5,77
B-D-GLCP1OME, ,C6,62.3
B-D-GLCP1OME, ,Ome,58.4
A-L-FUCP,2,C1,101.3
A-L-FUCP,2,C2,69.9
A-L-FUCP,2,C3,71.1
A-L-FUCP,2,C4,73.3
A-L-FUCP,2,C5,68.2
A-L-FUCP,2,C6,16.4
