Residual,Connection,Atom,Shift
A-D-GALP, ,H1,4.98
A-D-GALP, ,H2,3.9
A-D-GALP, ,H3,3.93
A-D-GALP, ,H4,4.22
A-D-GALP, ,H5,3.96
A-D-GALP, ,H6,3.74
B-D-GALPNAC,3,H1,4.73
B-D-GALPNAC,3,H2,4.05
B-D-GALPNAC,3,H3,3.9
B-D-GALPNAC,3,H4,4.17
B-D-GALPNAC,3,H5,3.7
B-D-GALPNAC,3,H6,3.77
B-D-GALP," 3, 3",H1,4.45
B-D-GALP," 3, 3",H2,3.59
B-D-GALP," 3, 3",H3,3.69
B-D-GALP," 3, 3",H4,4.1
B-D-GALP," 3, 3",H5,3.64
B-D-GALP," 3, 3",H6,3.75
B-D-GLCPNAC," 3, 3, 3",H1,4.76
B-D-GLCPNAC," 3, 3, 3",H2,3.76
B-D-GLCPNAC," 3, 3, 3",H3,3.58
B-D-GLCPNAC," 3, 3, 3",H4,3.62
B-D-GLCPNAC," 3, 3, 3",H5,3.62
B-D-GLCPNAC," 3, 3, 3",H61,3.77
B-D-GLCPNAC," 3, 3, 3",H62,4.02
A-D-GALP, ,C1,99.3
A-D-GALP, ,C2,68.4
A-D-GALP, ,C3,80.2
A-D-GALP, ,C4,70.1
A-D-GALP, ,C5,71.7
A-D-GALP, ,C6,62.1
B-D-GALPNAC,3,C1,103.9
B-D-GALPNAC,3,C2,52.5
B-D-GALPNAC,3,C3,80.6
B-D-GALPNAC,3,C4,69.1
B-D-GALPNAC,3,C5,75.7
B-D-GALPNAC,3,C6,62.1
B-D-GALP," 3, 3",C1,105.8
B-D-GALP," 3, 3",C2,70.7
B-D-GALP," 3, 3",C3,82.9
B-D-GALP," 3, 3",C4,69.5
B-D-GALP," 3, 3",C5,75.6
B-D-GALP," 3, 3",C6,62.1
B-D-GLCPNAC," 3, 3, 3",C1,104.1
B-D-GLCPNAC," 3, 3, 3",C2,56.7
B-D-GLCPNAC," 3, 3, 3",C3,75.1
B-D-GLCPNAC," 3, 3, 3",C4,70.2
B-D-GLCPNAC," 3, 3, 3",C5,75.3
B-D-GLCPNAC," 3, 3, 3",C6,66.4
