Residual,Connection,Atom,Shift
b-D-GalpNAc, ,H1,4.53
b-D-GalpNAc, ,H2,4.03
b-D-GalpNAc, ,H3,3.8
b-D-GalpNAc, ,H4,4.12
b-D-GalpNAc, ,H5,3.63
b-D-GalpNAc, ,H6,3.7
a-D-Galp,3,H1,5.06
a-D-Galp,3,H2,3.87
a-D-Galp,3,H3,3.78
a-D-Galp,3,H4,4.15
a-D-Galp,3,H5,3.82
a-D-Galp,3,H6,3.72
b-D-GalpNAc3Ac," 3,3",H1,4.75
b-D-GalpNAc3Ac," 3,3",H2,4.17
b-D-GalpNAc3Ac," 3,3",H3,5.03
b-D-GalpNAc3Ac," 3,3",H4,4.21
b-D-GalpNAc3Ac," 3,3",H5,3.71
b-D-GalpNAc3Ac," 3,3",H6,3.75
b-D-GlcpA," 4,3,3",H1,4.43
b-D-GlcpA," 4,3,3",H2,3.42
b-D-GlcpA," 4,3,3",H3,3.7
b-D-GlcpA," 4,3,3",H4,3.75
b-D-GlcpA," 4,3,3",H5,3.78
a-D-Glcp," 4,4,3,3",H1,5.39
a-D-Glcp," 4,4,3,3",H2,3.43
a-D-Glcp," 4,4,3,3",H3,3.64
a-D-Glcp," 4,4,3,3",H4,3.37
a-D-Glcp," 4,4,3,3",H5,3.76
a-D-Glcp," 4,4,3,3",H61,4.02
a-D-Glcp," 4,4,3,3",H62,3.82
b-D-GalpNAc, ,C1,102.4
b-D-GalpNAc, ,C2,51.6
b-D-GalpNAc, ,C3,76.4
b-D-GalpNAc, ,C4,64.9
b-D-GalpNAc, ,C5,75.5
b-D-GalpNAc, ,C6,61.6
b-D-GalpNAc, ,CO,175.2
b-D-GalpNAc, ,CH3,23
a-D-Galp,3,C1,96.1
a-D-Galp,3,C2,67.8
a-D-Galp,3,C3,80.4
a-D-Galp,3,C4,69.7
a-D-Galp,3,C5,71.7
a-D-Galp,3,C6,61.8
b-D-GalpNAc3Ac," 3,3",C1,103.4
b-D-GalpNAc3Ac," 3,3",C2,52
b-D-GalpNAc3Ac," 3,3",C3,73.7
b-D-GalpNAc3Ac," 3,3",C4,73.8
b-D-GalpNAc3Ac," 3,3",C5,75
b-D-GalpNAc3Ac," 3,3",C6,61.5
b-D-GalpNAc3Ac," 3,3",CO,175.5
b-D-GalpNAc3Ac," 3,3",CH3,23.3
b-D-GalpNAc3Ac," 3,3",3ACCH3,21
b-D-GlcpA," 4,3,3",C1,103.9
b-D-GlcpA," 4,3,3",C2,74.2
b-D-GlcpA," 4,3,3",C3,76.9
b-D-GlcpA," 4,3,3",C4,77.5
b-D-GlcpA," 4,3,3",C5,77.1
b-D-GlcpA," 4,3,3",C6,173.8
a-D-Glcp," 4,4,3,3",C1,98.8
a-D-Glcp," 4,4,3,3",C2,72.5
a-D-Glcp," 4,4,3,3",C3,73.6
a-D-Glcp," 4,4,3,3",C4,70
a-D-Glcp," 4,4,3,3",C5,71.5
a-D-Glcp," 4,4,3,3",C6,68.6
