Residual,Connection,Atom,Shift
A-D-KDOP, ,H31,2.671
A-D-KDOP, ,H32,2.222
A-D-KDOP, ,H4,4.512
A-D-KDOP, ,H5,4.421
A-D-KDOP, ,H6,3.675
A-D-KDOP, ,H7,3.475
A-D-KDOP, ,H81,3.611
A-D-KDOP, ,H82,3.792
A-D-GLCPNAC,4,H1,4.873
A-D-GLCPNAC,4,H2,2.712
A-D-GLCPNAC,4,H3,3.681
A-D-GLCPNAC,4,H4,3.681
A-D-GLCPNAC,4,H5,3.972
A-D-GLCPNAC," 4, 4",H1,5.361
A-D-GLCPNAC," 4, 4",H2,3.811
A-D-GLCPNAC," 4, 4",H3,3.651
A-D-GLCPNAC," 4, 4",H4,3.402
A-D-GLCPNAC," 4, 4",H5,3.663
A-D-GLCPNAC," 4, 4",H6,3.731
A-D-GLCPNAC," 4, 4",H81,1.981
A-D-KDOP, ,C1,176.8
A-D-KDOP, ,C2,105.7
A-D-KDOP, ,C3,41.9
A-D-KDOP, ,C4,74.6
A-D-KDOP, ,C5,83.5
A-D-KDOP, ,C6,62.7
A-D-KDOP, ,C7,76
A-D-KDOP, ,C8,61.7
A-D-GLCPNAC,4,C1,99.8
A-D-GLCPNAC,4,C2,55.9
A-D-GLCPNAC,4,C3,75.8
A-D-GLCPNAC,4,C4,76.7
A-D-GLCPNAC,4,C5,74.3
A-D-GLCPNAC,4,C6,174.1
A-D-GLCPNAC," 4, 4",C1,97.8
A-D-GLCPNAC," 4, 4",C2,54.5
A-D-GLCPNAC," 4, 4",C3,71.6
A-D-GLCPNAC," 4, 4",C4,70.5
A-D-GLCPNAC," 4, 4",C5,72.5
A-D-GLCPNAC," 4, 4",C6,60.9
A-D-GLCPNAC," 4, 4",C7,175.3
A-D-GLCPNAC," 4, 4",C8,22.8
