0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→3) α-d-GalNAcOMei,99.26,49.46,78.34,69.46,71.3,62.07,,22.96,175.32,56.08
Expected Calc. Error: 1.55,4.79,4.33,3.97,4.21,3.92,3.75,3.77,2.02,,3.4
"→3,4) β-d-GlcNAcii (1→",103.58,56.71,75.46,71.82,76.84,60.62,,23.14,175.25,
Expected Calc. Error: 2.75,4.63,3.92,3.82,3.97,3.46,3.86,3.94,2.05,,
→2) β-d-Galiii (1→,100.18,77.43,74.45,69.74,75.59,62.21,,,,
Expected Calc. Error: 0.75,4.52,3.64,3.86,3.9,3.58,3.71,3.73,,,
α-l-Fuciv (1→,100.22,69.22,70.66,72.6,67.72,16.08,,,,
Expected Calc. Error: 0.25,5.31,3.81,3.79,3.81,4.22,1.23,,,,
α-l-Fucv (1→,99.24,68.71,70.21,72.8,67.49,16.08,,,,
Expected Calc. Error: 0.83,5.11,3.71,3.9,3.8,4.77,1.19,,,,
