0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
"→3,6) α-d-GalNAcOMei",99.14,49.37,78.19,69.47,69.79,69.86,,22.96,175.32,56.03
Expected Calc. Error: 1.79,4.77,4.33,3.96,4.19,4.01,3.78,4.02,2.02,,3.38
→4) β-d-GlcNAcii (1→,102.23,56.02,73.0,77.28,76.14,61.08,,23.02,175.2,
Expected Calc. Error: 0.66,4.58,3.77,3.69,3.76,3.5,3.85,3.98,2.04,,
→2) β-d-Galiii (1→,101.27,77.32,74.48,70.0,76.05,61.84,,,,
Expected Calc. Error: 0.42,4.54,3.7,3.87,3.92,3.7,3.76,3.76,,,
→3) α-l-Fuciv (1→,100.21,68.46,79.16,72.41,67.9,16.05,,,,
Expected Calc. Error: 0.77,5.36,4.01,3.86,3.95,3.84,1.22,,,,
α-d-Galv (1→,101.51,69.32,70.26,70.18,72.23,61.73,,,,
Expected Calc. Error: 0.52,5.22,3.82,3.85,3.89,4.0,3.69,3.69,,,
→4) β-d-GlcNAcvi (1→,103.76,56.17,72.99,77.11,76.13,60.95,,23.08,175.47,
Expected Calc. Error: 1.92,4.6,3.76,3.64,3.75,3.45,3.84,3.93,2.06,,
→2) β-d-Galvii (1→,101.27,77.32,74.48,70.0,76.05,61.84,,,,
Expected Calc. Error: 0.42,4.54,3.7,3.87,3.92,3.7,3.76,3.76,,,
→3) α-l-Fucviii (1→,100.21,68.46,79.16,72.41,67.9,16.05,,,,
Expected Calc. Error: 0.77,5.36,4.01,3.86,3.95,3.84,1.22,,,,
α-d-Galix (1→,101.51,69.32,70.26,70.18,72.23,61.73,,,,
Expected Calc. Error: 0.52,5.22,3.82,3.85,3.89,4.0,3.69,3.69,,,
