0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
"→3,4) β-d-GlcNAcOMei",102.64,56.77,75.78,72.3,76.99,60.99,,23.25,175.18,57.82
Expected Calc. Error: 0.08,4.49,3.88,3.88,3.98,3.49,3.83,4.0,2.03,,3.51
"→2,3) β-d-Galii (1→",99.28,72.34,76.12,63.75,75.32,62.22,,,,
Expected Calc. Error: 2.93,4.61,3.86,3.98,4.18,3.53,3.65,3.73,,,
α-d-GalNAciii (1→,92.2,49.95,68.41,69.22,72.31,62.02,,22.8,175.4,
Expected Calc. Error: 2.85,5.24,4.27,3.78,4.06,3.95,3.83,3.83,2.04,,
α-l-Fuciv (1→,99.27,68.63,70.64,72.62,67.71,16.03,,,,
Expected Calc. Error: 0.83,5.37,3.82,3.75,3.81,4.32,1.25,,,,
α-l-Fucv (1→,99.24,68.71,70.21,72.8,67.49,16.08,,,,
Expected Calc. Error: 0.00,5.11,3.71,3.9,3.8,4.77,1.19,,,,
