0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→3) β-d-GalNAcOMei,103.58,52.62,81.26,68.44,75.6,61.81,,23.12,175.78,57.9
Expected Calc. Error: 1.55,4.41,3.99,3.83,4.15,3.71,3.84,3.86,2.06,,3.57
"→3,4) β-d-GlcNAcii (1→",103.06,56.85,75.4,71.82,76.75,60.61,,23.15,175.42,
Expected Calc. Error: 2.75,4.77,3.95,3.88,3.99,3.52,3.87,3.97,2.03,,
"→2,3) β-d-Galiii (1→",100.18,72.94,77.73,64.66,75.17,62.29,,,,
Expected Calc. Error: 1.97,4.58,3.87,3.99,4.22,3.58,3.72,3.74,,,
α-d-Galiv (1→,94.43,69.0,70.24,70.38,72.04,62.11,,,,
Expected Calc. Error: 1.22,5.25,3.89,3.89,4.01,4.22,3.75,3.75,,,
α-l-Fucv (1→,99.22,68.63,70.69,72.62,67.69,16.01,,,,
Expected Calc. Error: 0.25,5.37,3.8,3.73,3.8,4.32,1.24,,,,
α-l-Fucvi (1→,99.24,68.71,70.21,72.8,67.49,16.08,,,,
Expected Calc. Error: 0.83,5.11,3.71,3.9,3.8,4.77,1.19,,,,
