0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→4) β-d-GlcOMei,103.95,73.71,75.34,79.69,75.64,61.24,,,,57.91
Expected Calc. Error: 0.00,4.4,3.33,3.66,3.64,3.6,3.82,3.99,,,3.58
→4) β-d-Galii (1→,102.09,72.15,73.19,77.87,76.04,60.87,,,,
Expected Calc. Error: 0.27,4.62,3.57,3.74,4.05,3.79,3.83,3.9,,,
→3) α-d-Galiii (1→,101.05,68.43,79.54,69.51,70.66,61.54,,,,
Expected Calc. Error: 0.87,4.92,3.87,3.98,4.23,4.37,3.67,3.67,,,
→3) β-d-GalNAciv (1→,104.88,52.33,76.32,68.49,75.65,61.12,,23.13,175.89,
Expected Calc. Error: 2.49,4.43,4.04,4.0,4.08,3.66,3.74,3.75,2.03,,
→2) β-d-Galv (1→,102.09,77.43,74.54,70.11,75.38,61.8,,,,
Expected Calc. Error: 1.89,4.7,3.62,3.83,3.92,3.64,3.81,3.89,,,
α-l-Fucvi (1→,100.28,69.09,70.48,72.76,67.29,16.12,,,,
Expected Calc. Error: 0.83,5.21,3.8,3.71,3.78,4.3,1.2,,,,
