0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→3) α-d-GalNAcOMei,99.26,49.46,78.34,69.46,71.3,62.07,,22.96,175.32,56.08
Expected Calc. Error: 1.55,4.79,4.33,3.97,4.21,3.92,3.75,3.77,2.02,,3.4
"→3,4) β-d-GlcNAcii (1→",103.58,56.71,75.46,71.82,76.84,60.62,,23.14,175.25,
Expected Calc. Error: 2.75,4.63,3.92,3.82,3.97,3.46,3.86,3.94,2.05,,
"→2,3) β-d-Galiii (1→",99.29,72.23,76.14,63.76,75.3,62.23,,,,
Expected Calc. Error: 3.60,4.61,3.86,3.97,4.18,3.52,3.65,3.68,,,
α-d-GalNAciv (1→,92.2,49.95,68.41,69.22,72.31,62.02,,22.8,175.4,
Expected Calc. Error: 2.85,5.24,4.27,3.78,4.06,3.95,3.83,3.83,2.04,,
α-l-Fucv (1→,99.22,68.63,70.69,72.62,67.69,16.01,,,,
Expected Calc. Error: 1.00,5.37,3.8,3.73,3.8,4.32,1.24,,,,
α-l-Fucvi (1→,99.24,68.71,70.21,72.8,67.49,16.08,,,,
Expected Calc. Error: 0.83,5.11,3.71,3.9,3.8,4.77,1.19,,,,
