0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→4) α-d-GlcOMei,99.92,71.98,72.59,79.88,71.16,61.07,,,,56.01
Expected Calc. Error: 0.19,4.81,3.61,3.8,3.63,3.76,3.85,3.93,,,3.44
"→3,6) β-d-Galii (1→",103.7,70.83,82.68,69.11,74.14,69.38,,,,
Expected Calc. Error: 0.35,4.38,3.58,3.66,4.08,3.77,3.69,3.98,,,
→3) β-d-GlcNAciii (1→,101.97,55.98,81.44,69.65,76.65,61.7,,23.05,175.29,
Expected Calc. Error: 0.67,4.61,3.84,3.7,3.54,3.51,3.78,3.96,2.03,,
α-l-Fuciv (1→,100.59,68.86,70.46,72.67,67.8,15.97,,,,
Expected Calc. Error: 0.50,5.0,3.73,3.83,3.81,4.31,1.18,,,,
→4) β-d-GlcNAcv (1→,103.14,56.28,73.09,79.66,75.47,61.24,,23.25,175.47,
Expected Calc. Error: 0.17,4.77,3.78,3.76,3.71,3.62,3.85,3.98,2.04,,
β-d-Galvi (1→,103.8,71.89,73.55,69.48,76.18,61.8,,,,
Expected Calc. Error: 0.17,4.48,3.57,3.67,3.95,3.73,3.77,3.79,,,
