0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→4) β-d-GlcOMei,103.95,73.71,75.34,79.69,75.64,61.24,,,,57.91
Expected Calc. Error: 0.00,4.4,3.33,3.66,3.64,3.6,3.82,3.99,,,3.58
→4) β-d-Galii (1→,102.09,72.15,73.19,77.87,76.04,60.87,,,,
Expected Calc. Error: 0.27,4.62,3.57,3.74,4.05,3.79,3.83,3.9,,,
→3) α-d-Galiii (1→,101.05,68.43,79.54,69.51,70.66,61.54,,,,
Expected Calc. Error: 0.87,4.92,3.87,3.98,4.23,4.37,3.67,3.67,,,
→3) β-d-GalNAciv (1→,103.02,51.31,75.27,64.17,75.7,60.63,,22.98,175.62,
Expected Calc. Error: 1.20,4.68,4.04,3.76,4.09,3.59,3.67,3.76,2.02,,
α-d-GalNAcv (1→,94.1,50.1,68.5,69.1,72.2,61.7,,22.8,175.4,
Expected Calc. Error: 0.60,5.07,4.21,3.77,4.01,3.83,3.77,3.77,2.04,,
