0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→4) α-d-GlcOMei,99.92,71.98,72.59,79.88,71.16,61.07,,,,56.01
Expected Calc. Error: 0.19,4.81,3.61,3.8,3.63,3.76,3.85,3.93,,,3.44
→4) β-d-Galii (1→,102.1,72.15,73.21,77.87,75.93,60.71,,,,
Expected Calc. Error: 0.45,4.56,3.53,3.68,4.01,3.75,3.71,3.84,,,
→3) α-d-Galiii (1→,101.05,68.43,79.54,69.51,70.66,61.54,,,,
Expected Calc. Error: 0.87,4.92,3.87,3.98,4.23,4.37,3.67,3.67,,,
→3) β-d-GalNAciv (1→,104.88,52.33,76.32,68.49,75.65,61.12,,23.13,175.89,
Expected Calc. Error: 2.49,4.43,4.04,4.0,4.08,3.66,3.74,3.75,2.03,,
"→2,3) β-d-Galv (1→",101.2,72.23,76.23,64.13,75.09,61.82,,,,
Expected Calc. Error: 4.74,4.79,3.84,3.94,4.2,3.58,3.78,3.81,,,
α-d-GalNAcvi (1→,92.2,49.95,68.41,69.22,72.31,62.02,,22.8,175.4,
Expected Calc. Error: 2.85,5.24,4.27,3.78,4.06,3.95,3.83,3.83,2.04,,
α-l-Fucvii (1→,99.28,68.5,70.51,72.78,67.26,16.05,,,,
Expected Calc. Error: 1.58,5.27,3.79,3.65,3.77,4.4,1.21,,,,
