0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→4) β-d-GlcOMei,104.05,73.74,75.18,77.14,76.16,61.15,,,,57.91
Expected Calc. Error: 0.08,4.37,3.34,3.6,3.7,3.48,3.81,3.96,,,3.58
"→2,3) β-d-Galii (1→",100.39,72.12,76.2,64.03,75.74,61.87,,,,
Expected Calc. Error: 2.93,4.61,3.92,3.98,4.2,3.64,3.69,3.74,,,
→3) α-d-GalNAciii (1→,93.18,48.68,73.03,69.11,72.16,62.44,,22.83,175.29,
Expected Calc. Error: 4.46,5.04,4.38,4.04,4.21,3.95,3.79,3.82,2.04,,
→2) β-d-Galiv (1→,102.09,77.43,74.54,70.11,75.38,61.8,,,,
Expected Calc. Error: 1.61,4.7,3.62,3.83,3.92,3.64,3.81,3.89,,,
α-l-Fucv (1→,100.28,69.09,70.48,72.76,67.29,16.12,,,,
Expected Calc. Error: 1.11,5.21,3.8,3.71,3.78,4.3,1.2,,,,
α-l-Fucvi (1→,99.22,68.63,70.69,72.62,67.69,16.01,,,,
Expected Calc. Error: 0.83,5.37,3.8,3.73,3.8,4.32,1.24,,,,
