0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→3) α-d-GalNAcOMei,99.26,49.46,78.34,69.46,71.3,62.07,,22.96,175.32,56.08
Expected Calc. Error: 1.55,4.79,4.33,3.97,4.21,3.92,3.75,3.77,2.02,,3.4
→3) β-d-GlcNAcii (1→,104.4,55.7,78.63,69.46,76.38,61.93,,23.19,175.54,
Expected Calc. Error: 1.50,4.52,3.8,3.94,3.5,3.45,3.77,3.89,2.05,,
"→2,3) β-d-Galiii (1→",101.11,72.95,77.79,64.95,75.26,61.84,,,,
Expected Calc. Error: 1.22,4.7,3.85,3.97,4.24,3.68,3.83,3.91,,,
α-d-Galiv (1→,94.43,69.0,70.24,70.38,72.04,62.11,,,,
Expected Calc. Error: 1.22,5.25,3.89,3.89,4.01,4.22,3.75,3.75,,,
α-l-Fucv (1→,99.28,68.5,70.51,72.78,67.26,16.05,,,,
Expected Calc. Error: 0.00,5.27,3.79,3.65,3.77,4.4,1.21,,,,
