0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→4) β-d-GlcNAcOMei,102.65,55.78,73.47,80.61,75.42,61.17,,23.02,175.34,57.82
Expected Calc. Error: 0.00,4.45,3.71,3.71,3.59,3.52,3.67,3.86,2.03,,3.5
→4) β-d-GlcNAcii (1→,102.51,56.25,73.13,79.94,75.8,61.26,,23.46,175.43,
Expected Calc. Error: 0.67,4.64,3.84,3.8,3.8,3.67,3.79,3.92,2.13,,
"→3,6) β-d-Maniii (1→",101.33,71.18,81.67,66.94,76.03,66.96,,,,
Expected Calc. Error: 2.25,4.77,4.22,3.76,3.8,3.62,3.78,4.02,,,
"→3,6) α-d-Maniv (1→",100.52,70.33,79.25,66.93,72.1,66.77,,,,
Expected Calc. Error: 0.75,4.88,4.11,3.92,3.87,3.86,3.8,3.98,,,
α-d-Manv (1→,100.52,70.86,71.53,67.79,73.61,61.91,,,,
Expected Calc. Error: 0.00,4.91,3.99,3.85,3.68,3.7,3.78,3.88,,,
→2) α-d-Manvi (1→,101.43,79.04,71.07,68.0,74.2,61.94,,,,
Expected Calc. Error: 2.25,5.34,4.11,4.0,3.72,3.76,3.78,3.88,,,
α-d-Manvii (1→,102.95,70.88,71.33,67.73,74.06,61.88,,,,
Expected Calc. Error: 1.75,5.07,4.07,3.85,3.69,3.73,3.77,3.86,,,
→2) α-d-Manviii (1→,101.43,79.04,71.07,68.0,74.2,61.94,,,,
Expected Calc. Error: 3.08,5.34,4.11,4.0,3.72,3.76,3.78,3.88,,,
α-d-Manix (1→,102.95,70.88,71.33,67.73,74.06,61.88,,,,
Expected Calc. Error: 2.03,5.07,4.07,3.85,3.69,3.73,3.77,3.86,,,
