0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→4) α-d-GlcOMei,99.92,71.98,72.59,79.88,71.16,61.07,,,,56.01
Expected Calc. Error: 0.19,4.81,3.61,3.8,3.63,3.76,3.85,3.93,,,3.44
→4) β-d-Galii (1→,102.1,72.15,73.21,77.87,75.93,60.71,,,,
Expected Calc. Error: 0.45,4.56,3.53,3.68,4.01,3.75,3.71,3.84,,,
→3) α-d-Galiii (1→,101.05,68.43,79.54,69.51,70.66,61.54,,,,
Expected Calc. Error: 0.87,4.92,3.87,3.98,4.23,4.37,3.67,3.67,,,
→3) β-d-GalNAciv (1→,104.88,52.33,76.32,68.49,75.65,61.12,,23.13,175.89,
Expected Calc. Error: 2.49,4.43,4.04,4.0,4.08,3.66,3.74,3.75,2.03,,
"→2,3) β-d-Galv (1→",102.09,72.94,77.82,65.03,74.96,61.88,,,,
Expected Calc. Error: 3.11,4.76,3.85,3.96,4.24,3.64,3.82,3.9,,,
α-d-Galvi (1→,94.43,69.0,70.24,70.38,72.04,62.11,,,,
Expected Calc. Error: 1.22,5.25,3.89,3.89,4.01,4.22,3.75,3.75,,,
α-l-Fucvii (1→,99.28,68.5,70.51,72.78,67.26,16.05,,,,
Expected Calc. Error: 0.83,5.27,3.79,3.65,3.77,4.4,1.21,,,,
