0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→4) β-d-GlcNAcOMei,102.65,55.78,73.47,80.61,75.42,61.17,,23.02,175.34,57.82
Expected Calc. Error: 0.00,4.45,3.71,3.71,3.59,3.52,3.67,3.86,2.03,,3.5
→4) β-d-GlcNAcii (1→,102.51,56.25,73.13,79.94,75.8,61.26,,23.46,175.43,
Expected Calc. Error: 0.67,4.64,3.84,3.8,3.8,3.67,3.79,3.92,2.13,,
"→3,6) β-d-Maniii (1→",101.33,71.18,81.67,66.94,76.03,66.96,,,,
Expected Calc. Error: 2.25,4.77,4.22,3.76,3.8,3.62,3.78,4.02,,,
"→3,6) α-d-Maniv (1→",100.5,70.23,79.12,66.84,71.97,66.85,,,,
Expected Calc. Error: 0.83,4.86,4.1,3.89,3.83,3.82,3.6,4.11,,,
→2) α-d-Manv (1→,99.01,79.13,71.07,67.96,73.62,61.88,,,,
Expected Calc. Error: 1.58,5.1,4.01,3.95,3.68,3.68,3.76,3.87,,,
α-d-Manvi (1→,102.96,70.84,71.29,67.78,74.02,61.95,,,,
Expected Calc. Error: 1.58,5.03,4.06,3.83,3.66,3.74,3.75,3.86,,,
→2) α-d-Manvii (1→,101.43,79.04,71.07,68.0,74.2,61.94,,,,
Expected Calc. Error: 2.25,5.34,4.11,4.0,3.72,3.76,3.78,3.88,,,
α-d-Manviii (1→,102.95,70.88,71.33,67.73,74.06,61.88,,,,
Expected Calc. Error: 1.75,5.07,4.07,3.85,3.69,3.73,3.77,3.86,,,
→2) α-d-Manix (1→,101.42,79.12,71.06,67.99,74.21,61.83,,,,
Expected Calc. Error: 3.83,5.32,4.1,4.0,3.72,3.75,3.77,3.88,,,
→2) α-d-Manx (1→,101.4,79.11,70.97,67.93,74.11,61.98,,,,
Expected Calc. Error: 4.28,5.29,4.11,3.95,3.72,3.71,3.76,3.86,,,
α-d-Manxi (1→,102.92,70.88,71.34,67.81,74.08,61.97,,,,
Expected Calc. Error: 2.25,5.06,4.07,3.84,3.67,3.75,3.76,3.88,,,
