0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→4) β-d-GlcNAcOMei,102.65,55.78,73.47,80.61,75.42,61.17,,23.02,175.34,57.82
Expected Calc. Error: 0.00,4.45,3.71,3.71,3.59,3.52,3.67,3.86,2.03,,3.5
→4) β-d-GlcNAcii (1→,102.51,56.25,73.13,79.94,75.8,61.26,,23.46,175.43,
Expected Calc. Error: 0.67,4.64,3.84,3.8,3.8,3.67,3.79,3.92,2.13,,
"→3,6) β-d-Maniii (1→",101.27,71.14,81.91,66.77,76.04,67.06,,,,
Expected Calc. Error: 8.08,4.76,4.24,3.78,3.79,3.63,3.77,4.03,,,
→2) α-d-Maniv (1→,97.88,77.75,70.55,68.3,73.8,62.37,,,,
Expected Calc. Error: 5.00,4.92,4.08,3.85,3.55,3.65,3.71,3.9,,,
→3) β-d-GlcNAcv (1→,100.49,55.34,83.12,69.69,76.34,61.66,,23.28,175.5,
Expected Calc. Error: 5.00,4.65,3.83,3.84,3.55,3.49,3.78,3.93,2.04,,
→4) β-d-Galvi (1→,102.58,71.91,73.13,77.83,76.01,60.87,,,,
Expected Calc. Error: 0.27,4.58,3.55,3.71,4.03,3.76,3.83,3.88,,,
α-d-Galvii (1→,101.1,69.6,70.0,69.8,71.1,61.8,,,,
Expected Calc. Error: 0.27,4.97,3.83,3.91,4.03,4.36,3.7,3.7,,,
→2) α-d-Manviii (1→,100.21,77.76,70.3,68.23,74.21,62.42,,,,
Expected Calc. Error: 2.42,5.13,4.15,3.89,3.56,3.69,3.7,3.88,,,
→3) β-d-GlcNAcix (1→,100.38,55.22,83.04,69.66,76.34,61.65,,23.27,175.52,
Expected Calc. Error: 1.36,4.61,3.83,3.83,3.55,3.48,3.78,3.93,2.04,,
→4) β-d-Galx (1→,102.58,71.91,73.13,77.83,76.01,60.87,,,,
Expected Calc. Error: 0.27,4.58,3.55,3.71,4.03,3.76,3.83,3.88,,,
α-d-Galxi (1→,101.1,69.6,70.0,69.8,71.1,61.8,,,,
Expected Calc. Error: 0.27,4.97,3.83,3.91,4.03,4.36,3.7,3.7,,,
