0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
"→3,4) β-d-GlcNAcOMei",102.48,56.46,75.84,74.58,76.37,60.89,,23.1,175.11,57.82
Expected Calc. Error: 0.00,4.51,3.88,3.91,3.92,3.62,3.87,4.02,2.03,,3.51
→3) β-d-Galii (1→,102.71,71.03,82.75,68.83,75.32,62.11,,,,
Expected Calc. Error: 0.00,4.46,3.57,3.72,4.12,3.6,3.74,3.74,,,
→3) β-d-GlcNAciii (1→,102.99,55.68,83.38,69.57,76.15,61.83,,23.36,175.54,
Expected Calc. Error: 0.00,4.8,3.86,3.84,3.56,3.51,3.78,3.92,2.03,,
β-d-Galiv (1→,104.3,71.65,73.52,69.45,76.13,61.81,,,,
Expected Calc. Error: 0.00,4.42,3.55,3.64,3.93,3.7,3.78,3.78,,,
α-l-Fucv (1→,99.24,68.71,70.21,72.8,67.49,16.08,,,,
Expected Calc. Error: 0.00,5.11,3.71,3.9,3.8,4.77,1.19,,,,
