0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
"→3,4) β-d-GlcNAcOMei",102.48,56.46,75.84,74.58,76.37,60.89,,23.1,175.11,57.82
Expected Calc. Error: 0.00,4.51,3.88,3.91,3.92,3.62,3.87,4.02,2.03,,3.51
→3) β-d-Galii (1→,102.71,71.03,82.75,68.83,75.32,62.11,,,,
Expected Calc. Error: 0.00,4.46,3.57,3.72,4.12,3.6,3.74,3.74,,,
"→3,4) β-d-GlcNAciii (1→",102.96,56.82,75.56,74.37,76.18,60.91,,23.31,175.25,
Expected Calc. Error: 1.00,4.79,3.94,3.94,3.94,3.64,3.88,4.0,2.03,,
β-d-Galiv (1→,102.71,72.0,73.52,69.22,75.72,62.17,,,,
Expected Calc. Error: 0.50,4.46,3.51,3.66,3.93,3.61,3.74,3.74,,,
α-l-Fucv (1→,99.24,68.71,70.21,72.8,67.49,16.08,,,,
Expected Calc. Error: 0.83,5.11,3.71,3.9,3.8,4.77,1.19,,,,
α-l-Fucvi (1→,99.24,68.71,70.21,72.8,67.49,16.08,,,,
Expected Calc. Error: 0.00,5.11,3.71,3.9,3.8,4.77,1.19,,,,
