0.0,1.0,2.0,3.0,4.0,5.0,6.0,6.0,Me_2,CO_2,Me_1
→4) α-d-GlcNAcOMei,99.03,54.6,70.47,77.76,72.15,61.11,,23,175.18,55.99
Expected Calc. Error: 0.41,4.8,3.95,3.85,3.79,3.68,3.82,3.93,2.06,,3.43
"→2,3) β-d-Galii (1→",100.37,72.23,76.15,64.01,75.78,61.85,,,,
Expected Calc. Error: 3.21,4.63,3.92,3.99,4.21,3.65,3.68,3.77,,,
→3) α-d-GalNAciii (1→,92.29,48.52,77.84,69.22,72.07,62.14,,22.83,175.29,
Expected Calc. Error: 3.35,5.18,4.41,3.87,4.25,3.96,3.79,3.82,2.04,,
β-d-Galiv (1→,105.28,71.64,73.55,69.53,75.83,61.85,,,,
Expected Calc. Error: 0.50,4.48,3.55,3.63,3.93,3.66,3.77,3.77,,,
α-l-Fucv (1→,99.27,68.63,70.64,72.62,67.71,16.03,,,,
Expected Calc. Error: 0.93,5.37,3.82,3.75,3.81,4.32,1.25,,,,
